Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
39,1199204,212184
195,2208041,1221021
393,1658294,671274
599,1317022,330002
795,1260206,273186
1009,754855,0
1210,1105242,118222
1405,1206074,219054
1599,1221298,234278
1796,681783,0
2011,467757,0
2203,2359614,1372594
2419,1102629,115609
2619,1130689,143669
2808,1327326,340306
3008,1230732,243712
3205,1902077,915057
3409,1352830,365810
3620,1151546,164526
3821,1166126,179106
4018,823845,0
4215,1167111,180091
4417,800112,0
4621,1719532,732512
4826,1179086,192066
5032,1149659,162639
5228,1185566,198546
5434,1136705,149685
5625,1160131,173111
5835,1074737,87717
6038,1120048,133028
6228,1276856,289836
6439,1154865,167845
6634,1186963,199943
6831,1246900,259880
7031,1220417,233397
7239,1407133,420113
7436,1347629,360609
7648,1170986,183966
7843,916064,0
8044,1028813,41793
8252,965278,0
8441,1469902,482882
8645,1234835,247815
8852,1145066,158046
9058,1121789,134769
9259,1106984,119964
9460,647041,0
9651,1450154,463134
9863,1135714,148694
10065,1088695,101675
10208,1283860,296840
10401,1251513,264493
10602,1265656,278636
10802,1098504,111484
11006,787551,0
11205,1185566,198546
11407,1547010,559990
11608,1173276,186256
11810,1319830,332810
12013,1173008,185988
12212,1215039,228019
12415,1125546,138526
12616,1299250,312230
12817,1178022,191002
13025,982330,0
13233,906904,0
13425,1340339,353319
13626,1235371,248351
13831,1200724,213704
14038,1124430,137410
14233,1300679,313659
14442,1126420,139400
14636,799100,0
14849,1107855,120835
15048,1160739,173719
15238,1217273,230253
15440,1120917,133897
15638,1270608,283588
15853,1151211,164191
16055,1127886,140866
16245,1462438,475418
16464,889593,0
16659,1157907,170887
16861,1008826,21806
17051,1379334,392314
17267,1113080,126060
17469,1106113,119093
17660,847566,0
17870,1199632,212612
18070,1106113,119093
18270,1040608,53588
18475,780111,0
18671,968059,0
18878,919204,0
19075,1141168,154148
19269,869205,0
19468,1437990,450970
19675,1146828,159808
19872,1244484,257464
20076,225908,0
20277,1837037,850017
20422,472230,0
20628,1574274,587254
20824,1336521,349501
21026,1205449,218429
21235,1162886,175866
21442,1134853,147833
21635,1270950,283930
21841,1151211,164191
22036,1252021,265001
22242,1162886,175866
22435,1291824,304804
22638,1270950,283930
22852,1111339,124319
23052,1032757,45737
23250,1143400,156380
23454,1107855,120835
23642,1479335,492315
23857,1097404,110384
24053,1172606,185586
24248,1634520,647500
24459,1095662,108642
24662,1127886,140866
24854,918850,0
25058,802557,0
25252,1231392,244372
25464,1143400,156380
25667,1116564,129544
25855,1393881,406861
26070,1109597,122577
26269,1155133,168113
26467,1041436,54416
26671,1147520,160500
26861,1379541,392521
27078,1116564,129544
27275,1126553,139533
27476,900478,0
27673,1174226,187206
27881,1118306,131286
28069,1146394,159374
28271,1326206,339186
28478,1156406,169386
28684,1147864,160844
28874,1402226,415206
29089,1104480,117460
29288,1084077,97057
29490,1118306,131286
29691,1130010,142990
29894,1180164,193144
30091,1214726,227706
30295,1025641,38621
30496,994046,7026
30691,1015520,28500
30898,1107855,120835
31101,1118306,131286
31288,1095421,108401
31489,1345660,358640
31687,1197438,210418
31887,1138966,151946
32088,1077863,90843
32288,825901,0
32491,952215,0
32691,1182326,195306
32892,1129809,142789
33094,1234757,247737
33295,1211799,224779
33496,1234381,247361
33648,1145052,158032
33848,1214861,227841
34050,1172204,185184
34252,1228887,241867
34453,1125273,138253
34656,1184355,197335
34857,1034066,47046
35056,1149500,162480
35256,1156791,169771
35459,936586,0
35676,932206,0
35868,929832,0
36066,1310484,323464
36280,1126662,139642
36479,1177992,190972
36670,1016142,29122
36877,1172606,185586
37085,1185511,198491
