Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
35,1068003,286418
214,930633,149048
414,1958100,1176515
615,1945980,1164395
821,1013261,231676
1018,1768670,987085
1222,1261329,479744
1427,479259,0
1633,369863,0
1824,1197515,415930
2031,310691,0
2239,344469,0
2441,219922,0
2639,392763,0
2833,862503,80918
3033,604288,0
3240,141198,0
3444,116997,0
3647,130388,0
3843,341319,0
4050,650736,0
4250,177022,0
4454,160823,0
4655,178643,0
4859,196463,0
5058,234686,0
5263,132482,0
5449,733698,0
5658,318100,0
5856,1574408,792823
6058,1241602,460017
6262,957645,176060
6461,1411108,629523
6651,2260244,1478659
6853,1334094,552509
7054,2245908,1464323
7255,1304539,522954
7458,1466214,684629
7664,2373687,1592102
7861,2162467,1380882
8063,1963753,1182168
8265,2312564,1530979
8472,1046704,265119
8666,2262582,1480997
8877,844794,63209
9068,1923268,1141683
9270,2439290,1657705
9474,1328867,547282
9677,1918368,1136783
9876,2273963,1492378
10076,2045628,1264043
10277,1475924,694339
10479,1333416,551831
10680,1885544,1103959
10878,1541102,759517
11085,995015,213430
11287,166349,0
11481,1034848,253263
11691,1178033,396448
11844,1477982,696397
12042,1810864,1029279
12236,1069050,287465
12439,1206738,425153
12642,1302626,521041
12837,2088011,1306426
13037,2506260,1724675
13242,2928140,2146555
13442,3096399,2314814
13644,3132438,2350853
13843,2688245,1906660
14045,3416494,2634909
14254,3903956,3122371
14448,3471417,2689832
14648,2339560,1557975
14850,2072508,1290923
15049,1829686,1048101
15252,2362608,1581023
15457,2315426,1533841
15659,2188218,1406633
15860,2933696,2152111
16062,2932739,2151154
16261,3507727,2726142
16461,3670580,2888995
16663,3458895,2677310
16867,2784340,2002755
17067,3979359,3197774
17266,2252109,1470524
17479,1946422,1164837
17685,3488607,2707022
17877,3823521,3041936
18087,2957083,2175498
18292,2061434,1279849
18487,2224068,1442483
18695,1435415,653830
18887,3398102,2616517
19086,2107382,1325797
19293,1110876,329291
19489,2640232,1858647
19690,1699502,917917
19894,2178283,1396698
20093,1755026,973441
20288,1684651,903066
20493,366627,0
20694,947877,166292
20891,1308203,526618
21047,345561,0
21247,1163463,381878
21451,1198315,416730
21660,901628,120043
21861,263453,0
22065,94680,0
22267,93564,0
22462,540373,0
22666,296985,0
22867,160823,0
23060,550789,0
23260,1231189,449604
23467,1194127,412542
23668,1283951,502366
23869,1036502,254917
24069,1533018,751433
24267,2476351,1694766
24469,2193418,1411833
24671,1128079,346494
24870,2353533,1571948
25066,3178324,2396739
25270,2691678,1910093
25471,2096213,1314628
25675,2304458,1522873
25876,1803872,1022287
26078,2265752,1484167
26277,2203849,1422264
26481,1414426,632841
26684,1317820,536235
26879,2043546,1261961
27084,1271134,489549
27287,1267983,486398
27489,1312193,530608
27690,1252347,470762
27888,1814732,1033147
28088,1657577,875992
28292,1292062,510477
28489,2039517,1257932
28701,1217886,436301
28901,1040213,258628
29095,1502399,720814
29304,1219172,437587
29503,2735330,1953745
29702,3349240,2567655
29901,2212346,1430761
30105,2191900,1410315
30308,3162409,2380824
30504,2745142,1963557
30705,2997963,2216378
30914,3522477,2740892
31108,3181038,2399453
31310,3479021,2697436
31511,3208442,2426857
31710,1820979,1039394
31911,1673355,891770
32110,1254482,472897
32319,724662,0
32515,905259,123674
32731,152723,0
32925,307400,0
33072,557096,0
33270,151769,0
33479,160823,0
33679,181883,0
33885,119229,0
34086,188363,0
34287,178643,0
34488,198083,0
34686,237136,0
34890,249140,0
35090,216538,0
35292,266253,0
35501,1225921,444336
35689,2707750,1926165
35892,1564055,782470
36093,1247912,466327
36290,1955954,1174369
36491,3159496,2377911
36695,2460176,1678591
36898,2120980,1339395
37092,2792132,2010547
37293,786664,5079
37494,2731930,1950345
37696,2156593,1375008
37905,2683208,1901623
38105,3257802,2476217
38301,2824895,2043310
38503,1490071,708486
38704,639095,0
38906,1311807,530222
39114,333366,0
39313,416327,0
39513,1022811,241226
39725,153616,0
39923,267557,0
40132,81315,0
40331,101375,0
40531,131657,0
40735,93508,0
40933,165735,0
41123,891378,109793
41326,1040285,258700
41536,948620,167035
41727,1213126,431541
41927,1292250,510665
42129,2139840,1358255
42328,1303168,521583
42531,734396,0
42730,1100257,318672
42930,1848121,1066536
43133,2845972,2064387
43335,1681121,899536
43536,1415855,634270
