Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
34,261587,0
194,908180,632707
391,652124,376651
593,643357,367884
805,147861,0
1001,334548,59075
1200,371689,96216
1411,143392,0
1612,167643,0
1812,132070,0
2005,276628,1155
2216,122490,0
2407,320929,45456
2603,678173,402700
2818,155750,0
3006,849034,573561
3206,1009032,733559
3420,161251,0
3615,337889,62416
3818,220409,0
4015,345860,70387
4221,225025,0
4426,188964,0
4626,225024,0
4828,247079,0
5030,255805,0
5225,298251,22778
5436,239142,0
5629,279598,4125
5831,196109,0
6032,244709,0
6228,291271,15798
6428,246927,0
6639,250901,0
6841,165792,0
7038,202345,0
7237,386097,110624
7440,165084,0
7637,319161,43688
7842,278389,2916
8050,141650,0
8245,274672,0
8438,690753,415280
8643,260592,0
8856,171027,0
9051,263905,0
9253,236365,0
9459,162526,0
9656,242845,0
9859,256635,0
10059,299944,24471
10263,239434,0
10467,177646,0
10609,420937,145464
10818,256973,0
11020,168024,0
11212,308005,32532
11419,285992,10519
11622,238522,0
11812,578433,302960
12019,222234,0
12227,207488,0
12424,239605,0
12623,255643,0
12826,192625,0
13030,166908,0
13230,220165,0
13429,288286,12813
13635,224907,0
13832,233701,0
14037,237985,0
14234,386097,110624
14446,140416,0
14649,146005,0
14838,262638,0
15040,236072,0
15253,256002,0
15457,192578,0
15651,257743,0
15862,146876,0
16057,363961,88488
16265,158905,0
16460,241225,0
16658,299944,24471
16868,199877,0
17068,141243,0
17267,248990,0
17463,872658,597185
17674,423506,148033
17871,293356,17883
18074,221372,0
18267,742996,467523
18473,234658,0
18678,254185,0
18872,372152,96679
19084,183646,0
19284,174719,0
19481,302137,26664
19631,466901,191428
19843,225025,0
20035,372152,96679
20242,210445,0
20449,150359,0
20642,288286,12813
20849,257592,0
21043,341473,66000
21242,374972,99499
21449,290618,15145
21646,338857,63384
21852,253311,0
22054,282437,6964
22259,247705,0
22453,558485,283012
22663,242733,0
22863,220165,0
23068,151775,0
23265,288399,12926
23474,140616,0
23668,281725,6252
23870,266191,0
24068,311602,36129
24266,371689,96216
24463,757966,482493
24681,120262,0
24874,319196,43723
25080,176873,0
25286,155970,0
25490,163808,0
25682,168324,0
25884,236365,0
26085,231505,0
26281,391388,115915
26488,231790,0
26689,216925,0
26894,195921,0
27093,221747,0
27290,411087,135614
27497,299944,24471
27703,165792,0
27902,307230,31757
28102,226056,0
28305,273835,0
28506,167778,0
28705,276156,683
28904,244623,0
29117,164679,0
29304,421052,145579
29460,276156,683
29664,462437,186964
29865,237985,0
30073,141650,0
30273,179183,0
30464,292949,17476
30670,327924,52451
30877,150550,0
31073,289125,13652
31266,434069,158596
31473,269706,0
31680,146549,0
31873,299944,24471
32077,264279,0
32277,313583,38110
32473,1049257,773784
32690,250218,0
32882,357113,81640
33100,160539,0
33292,181415,0
33495,182531,0
33688,360996,85523
33898,318597,43124
34103,139908,0
34293,362899,87426
34500,223405,0
34696,417653,142180
34904,252565,0
35100,223405,0
35300,344246,68773
35509,146767,0
35701,334919,59446
35906,253577,0
36109,210445,0
36306,411087,135614
36511,221785,0
36713,240999,0
36909,404521,129048
37106,548511,273038
37309,528563,253090
37519,290618,15145
37721,247095,0
37920,292947,17474
38131,161681,0
38319,374941,99468
38522,302276,26803
38728,233686,0
38925,260306,0
39127,281480,6007
39335,197759,0
39529,262368,0
39733,241225,0
39930,316266,40793
40080,637030,361557
40282,1407762,1132289
40495,149534,0
40690,200725,0
40889,227663,0
41089,299944,24471
41290,358556,83083
41504,147747,0
41697,239605,0
41892,411087,135614
42100,194245,0
42299,304338,28865
42501,385658,110185
42700,378255,102782
42906,228481,0
43116,154225,0
43309,302427,26954
43510,268102,0
43719,183686,0
43920,148618,0
44119,252565,0
44321,290732,15259
44519,283623,8150
44723,263557,0
44924,303653,28180
45125,249325,0
45325,346097,70624
45536,154141,0
45725,341473,66000
45930,237985,0
46132,271924,0
46327,460335,184862
46536,210445,0
46729,447202,171729
46938,256635,0
47136,273835,0
47338,304608,29135
47531,913026,637553
47741,135342,0
47946,158406,0
48150,245573,0
48347,278485,3012
48552,189226,0
48750,247011,0
48958,160130,0
49149,424220,148747
49350,330317,54844
49561,175835,0
49756,327924,52451
49902,678164,402691
50110,228510,0
50310,266600,0
50514,307578,32105
50721,151615,0
50916,358671,83198
51121,281480,6007
51316,430786,155313
51534,262939,0
51730,151286,0
51924,295281,19808
52128,226316,0
52323,480034,204561
52524,342140,66667
52730,260457,0
52929,239434,0
53129,379328,103855
53340,160135,0
53529,566778,291305
53736,212413,0
53939,207450,0
54135,309271,33798
54345,231340,0
54536,372152,96679
54744,200725,0
54947,188110,0
55144,216500,0
55339,523576,248103
55546,342140,66667
55746,483680,208207
55950,229995,0
56158,192838,0
56358,381117,105644
56551,381538,106065
56759,276037,564
56960,259045,0
57156,374941,99468
57363,260457,0
57561,493661,218188
57768,268765,0
57973,163561,0
58170,215503,0
58370,252564,0
58564,397954,122481
58773,231505,0
58973,277658,2185
59182,272005,0
59373,419564,144091
59567,1256703,981230
59775,1216509,941036
