Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
112,1000681,254282
283,1315086,568687
481,980000,233601
690,830765,84366
889,787025,40626
1089,915043,168644
1292,788401,42002
1491,931736,185337
1641,962414,216015
1846,689580,0
2046,770581,24182
2245,782676,36277
2452,676286,0
2644,1002867,256468
2847,796455,50056
3043,1485181,738782
3246,1352730,606331
3452,892510,146111
3661,680672,0
3853,937318,190919
4068,674734,0
4252,907654,161255
4461,757906,11507
4661,881389,134990
4868,675425,0
5058,986566,240167
5264,897077,150678
5460,868371,121972
5664,828973,82574
5867,775748,29349
6071,785406,39007
6262,1154410,408011
6463,929995,183596
6663,1169821,423422
6866,1099553,353154
7072,784639,38240
7275,845481,99082
7478,819472,73073
7679,854554,108155
7881,708569,0
8082,1057886,311487
8279,816697,70298
8483,815725,69326
8691,746439,40
8893,773821,27422
9091,886001,139602
9301,707627,0
9496,749521,3122
9698,790021,43622
9904,725367,0
10103,785161,38762
10307,721754,0
10499,884323,137924
10709,799951,53552
10912,947053,200654
11109,838175,91776
11315,730886,0
11510,911022,164623
11667,791886,45487
11866,790482,44083
12067,759486,13087
12268,794150,47751
12476,668637,0
12681,783541,37142
12868,996301,249902
13080,788484,42085
13274,842723,96324
13481,772445,26046
13686,773372,26973
13890,788751,42352
14090,710800,0
14290,823016,76617
14491,800360,53961
14695,777306,30907
14903,808086,61687
15103,744042,0
15296,819022,72623
15500,782165,35766
15694,958434,212035
15897,880343,133944
16105,682582,0
16305,780813,34414
16510,710878,0
16714,685184,0
16905,905363,158964
17116,740365,0
17311,811827,65428
17517,850303,103904
17712,874185,127786
17919,731946,0
18123,845143,98744
18321,773821,27422
18527,785123,38724
18729,748620,2221
18934,718906,0
19132,815941,69542
19331,756000,9601
19530,720361,0
19734,803584,57185
19940,781921,35522
20094,697488,0
20287,854539,108140
20497,701079,0
20689,823077,76678
20896,778681,32282
21097,833171,86772
21295,840086,93687
21502,694764,0
21703,746281,0
21904,741400,0
22105,912213,165814
22313,697488,0
22511,753006,6607
22720,787026,40627
22913,881445,135046
23116,778926,32527
23313,852403,106004
23520,814183,67784
23724,782751,36352
23918,845273,98874
24126,781921,35522
24327,880908,134509
24527,850051,103652
24726,788893,42494
24924,834762,88363
25134,745588,0
25331,840495,94096
25531,878741,132342
25735,814321,67922
25941,795287,48888
26138,785161,38762
26344,764990,18591
26543,794881,48482
26749,778622,32223
26949,738775,0
27152,722037,0
27351,738180,0
27550,820974,74575
27751,783541,37142
27955,783541,37142
28158,805040,58641
28362,734941,0
28565,790367,43968
28756,891499,145100
28963,751385,4986
29161,849983,103584
29317,737581,0
29514,819472,73073
29716,810602,64203
29916,746281,0
30121,778681,32282
30325,845968,99569
30518,893262,146863
30727,759241,12842
30924,820974,74575
31136,702603,0
31335,738673,0
31539,801413,55014
31742,678217,0
31940,763639,17240
32143,796129,49730
32343,744661,0
32542,791641,45242
32746,829690,83291
32948,772311,25912
33151,707453,0
33355,827526,81127
33545,907770,161371
33749,777612,31213
33959,759763,13364
34153,922588,176189
34357,818521,72122
34561,759486,13087
34763,746281,0
34974,684859,0
35164,786781,40382
35369,727803,0
35569,813147,66748
35769,840018,93619
35969,810976,64577
36174,796129,49730
36380,800817,54418
36574,805685,59286
36776,901057,154658
36974,1019770,273371
37180,920787,174388
37389,797300,50901
37538,815941,69542
37735,744661,0
37945,708647,0
38138,772201,25802
38342,822885,76486
38541,889901,143502
38744,822242,75843
38952,693024,0
39141,963469,217070
39353,796129,49730
39554,735003,0
39751,996301,249902
39958,767341,20942
40161,819181,72782
40363,727616,0
40564,796753,50354
40765,703783,0
40966,780546,34147
41172,726423,0
41372,783786,37387
41574,853873,107474
41772,857244,110845
41978,778925,32526
42175,817806,71407
42376,1032531,286132
42573,920902,174503
42780,717496,0
42980,811827,65428
43182,745282,0
43381,771693,25294
43581,1000269,253870
43783,943885,197486
43985,818521,72122
44190,780546,34147
44394,815965,69566
44594,772445,26046
44799,802272,55873
45005,685184,0
45206,754380,7981
45405,708436,0
45599,847279,100880
45806,914500,168101
46004,891126,144727
46210,748146,1747
46361,816186,69787
46555,1838384,1091985
46763,821774,75375
46973,690275,0
47178,695282,0
47379,768960,22561
47569,807596,61197
47771,790020,43621
47975,754381,7982
48174,790020,43621
48379,798040,51641
48576,854539,108140
48784,696372,0
48989,785194,38795
49183,836264,89865
49385,827878,81479
49591,777061,30662
49793,720921,0
49998,693186,0
50195,804601,58202
50393,756001,9602
50595,816607,70208
50795,901088,154689
51007,679279,0
51203,841997,95598
51407,808556,62157
51604,751141,4742
51809,917463,171064
52006,998741,252342
52214,688483,0
52409,788646,42247
52613,886286,139887
52816,756404,10005
53015,917791,171392
53218,744661,0
53420,746281,0
53616,842438,96039
53827,778352,31953
54029,960494,214095
54173,881504,135105
54380,706337,0
54581,910487,164088
54786,738697,0
54984,944689,198290
55189,690793,0
55387,780300,33901
55590,796501,50102
55796,751854,5455
56000,686791,0
56201,777306,30907
56398,756806,10407
56595,847563,101164
56805,829146,82747
57004,777306,30907
57208,817661,71262
57405,777426,31027
57611,735795,0
57807,1016115,269716
58014,718985,0
58217,781921,35522
58414,811097,64698
58618,776391,29992
58810,1119510,373111
59018,745196,0
59223,762480,16081
59422,749520,3121
59623,785161,38762
59815,1540747,794348
60023,1576226,829827
,,
