Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
57,870239,0
225,1268446,293326
426,1841665,866545
626,1515218,540098
826,1474029,498909
1027,1729810,754690
1239,1259958,284838
1441,891245,0
1635,1546303,571183
1837,1012153,37033
2035,2365014,1389894
2238,2279156,1304036
2436,1532100,556980
2638,1440299,465179
2838,669013,0
3051,134679,0
3253,72606,0
3454,103607,0
3647,620168,0
3861,89101,0
4054,220763,0
4255,333666,0
4460,96023,0
4664,81290,0
4862,139763,0
5064,110602,0
5265,186644,0
5468,1134383,159263
5653,1000280,25160
5859,1375970,400850
6060,836822,0
6262,859015,0
6464,1820486,845366
6667,1626422,651302
6869,1017838,42718
7067,2118894,1143774
7275,1187603,212483
7480,3300436,2325316
7663,3101688,2126568
7865,2800608,1825488
8067,1527898,552778
8267,691898,0
8468,1375143,400023
8670,1820085,844965
8871,979306,4186
9072,1938197,963077
9274,1358699,383579
9474,1942258,967138
9677,2701746,1726626
9877,1688730,713610
10078,2101072,1125952
10277,1557446,582326
10483,1766428,791308
10687,749177,0
10888,466944,0
11091,696768,0
11297,323156,0
11490,1335580,360460
11689,1694635,719515
11893,1853030,877910
12094,1765862,790742
12295,2088753,1113633
12448,2725344,1750224
12655,2047440,1072320
12849,1973139,998019
13051,2803763,1828643
13257,1922808,947688
13457,4202506,3227386
13650,3419242,2444122
13860,4688976,3713856
14057,4264019,3288899
14260,2283650,1308530
14459,2203368,1228248
14658,1712008,736888
14865,1755363,780243
15062,2601057,1625937
15272,1561243,586123
15473,1947955,972835
15678,1485723,510603
15863,2070047,1094927
16074,1347817,372697
16275,1999451,1024331
16471,2075120,1100000
16690,2011303,1036183
16869,2515273,1540153
17074,1943080,967960
17279,1899553,924433
17478,2250121,1275001
17680,3474866,2499746
17875,4435779,3460659
18085,4271630,3296510
18285,3900945,2925825
18484,2761258,1786138
18694,2278919,1303799
18887,2489478,1514358
19095,2162831,1187711
19297,2236803,1261683
19501,2303426,1328306
19693,2395412,1420292
19896,2362621,1387501
20094,3200108,2224988
20296,2534973,1559853
20498,2448936,1473816
20696,2312281,1337161
20895,2073801,1098681
21098,1474767,499647
21297,2460712,1485592
21497,2088055,1112935
21698,1456520,481400
21915,338214,0
22106,972972,0
22313,553328,0
22520,156675,0
22716,227576,0
22911,596111,0
23125,36028,0
23321,156867,0
23463,860281,0
23675,997536,22416
23877,968688,0
24069,1350415,375295
24270,890203,0
24470,1617863,642743
24673,785126,0
24872,2307888,1332768
25073,1897246,922126
25277,1318121,343001
25479,1102859,127739
25677,2045452,1070332
25877,1275300,300180
26080,1592803,617683
26278,1577005,601885
26485,1907437,932317
26685,659562,0
26886,2024810,1049690
27083,2104454,1129334
27292,967325,0
27489,1589798,614678
27696,868072,0
27891,1261726,286606
28092,1308811,333691
28292,361386,0
28493,1223588,248468
28696,851439,0
28894,1147227,172107
29101,533328,0
29308,423738,0
29500,740140,0
29713,724947,0
29902,1318850,343730
30101,1969719,994599
30306,1396974,421854
30513,1493786,518666
30717,2144753,1169633
30914,2537414,1562294
31115,2618587,1643467
31315,2775634,1800514
31518,2207033,1231913
31724,2362480,1387360
31924,1986887,1011767
32121,2984422,2009302
32320,2144398,1169278
32526,1933630,958510
32726,2278060,1302940
