Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
70,1044109,283547
239,2051125,1290563
439,1205960,445398
652,966314,205752
855,1008118,247556
1051,1026918,266356
1255,1005778,245216
1455,1033050,272488
1658,1009126,248564
1861,1292267,531705
2063,433993,0
2254,1030604,270042
2459,1020438,259876
2663,995818,235256
2863,975894,215332
3056,1704229,943667
3257,1624644,864082
3455,2433314,1672752
3656,1060895,300333
3863,1020438,259876
4062,1044250,283688
4269,973989,213427
4463,1081427,320865
4672,962910,202348
4872,991308,230746
5073,986345,225783
5265,1023138,262576
5474,967185,206623
5674,1003369,242807
5868,1092085,331523
6074,1020318,259756
6275,1015431,254869
6472,1025764,265202
6682,977636,217074
6875,1055406,294844
7083,974152,213590
7282,990156,229594
7488,970669,210107
7687,1020285,259723
7889,990700,230138
8082,1059646,299084
8282,1138050,377488
8492,1001151,240589
8693,992388,231826
8894,1010024,249462
9089,1011771,251209
9296,1032559,271997
9494,1001315,240753
9710,1044840,284278
9901,1518605,758043
10099,253461,0
10303,1024738,264176
10506,990700,230138
10697,1250252,489690
10912,930795,170233
11105,1051218,290656
11311,1009126,248564
11463,990156,229594
11661,1001315,240753
11868,987216,226654
12067,1015821,255259
12269,978507,217945
12470,997667,237105
12665,1025298,264736
12871,1020285,259723
13076,977636,217074
13272,1065284,304722
13471,999378,238816
13674,991272,230710
13875,1043118,282556
14078,992388,231826
14279,1030158,269596
14481,985693,225131
14682,1007934,247372
14883,1014705,254143
15084,1014388,253826
15285,1001890,241328
15480,1147899,387337
15686,1028538,267976
15893,986345,225783
16089,1031778,271216
16296,1019169,258607
16495,986345,225783
16699,979378,218816
16897,1063939,303377
17099,1014705,254143
17302,999083,238521
17505,997967,237405
17705,1029296,268734
17908,977636,217074
18104,1057698,297136
18308,1028096,267534
18500,1474370,713808
18715,995054,234492
18915,997667,237105
19113,1014705,254143
19321,990618,230056
19520,992442,231880
19721,995549,234987
19921,1011358,250796
20122,1005778,245216
20329,1009860,249298
20523,991278,230716
20723,1036616,276054
20925,1023678,263116
21129,1006894,246332
21333,987924,227362
21486,978997,218435
21684,1090098,329536
21887,994987,234425
22086,1031443,270881
22288,1000199,239637
22490,1004662,244100
22694,999083,238521
22895,977636,217074
23091,1051218,290656
23292,1007478,246916
23498,1018569,258007
23700,1010242,249680
23895,1083618,323056
24102,1000280,239718
24297,1127411,366849
24505,1003547,242985
24702,1035018,274456
24909,993312,232750
25111,1002431,241869
25312,987380,226818
25512,1017662,257100
25716,1018053,257491
25914,1021401,260839
26114,966640,206078
26315,1069038,308476
26518,999378,238816
26723,999409,238847
26919,1026918,266356
27124,1010242,249680
27324,1003547,242985
27529,1001315,240753
27731,1005043,244481
27929,1010242,249680
