Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
81,1043780,364408
243,1692050,1012678
443,1290148,610776
651,993181,313809
857,972411,293039
1053,1004238,324866
1259,976765,297393
1455,1088218,408846
1659,994620,315248
1857,1010718,331346
2063,961960,282588
2259,999083,319711
2461,971540,292168
2659,1074839,395467
2867,994183,314811
3058,1650263,970891
3260,1861626,1182254
3458,2384273,1704901
3663,1004126,324754
3872,942008,262636
4073,982181,302809
4274,985474,306102
4471,1060718,381346
4676,976765,297393
4878,981120,301748
5078,981120,301748
5279,973281,293909
5471,1010005,330633
5675,1017198,337826
5877,1013083,333711
6073,1042837,363465
6279,1028538,349166
6482,1024499,345127
6686,1005778,326406
6888,1007247,327875
7091,988087,308715
7285,1053817,374445
7487,1025298,345926
7691,1011358,331986
7890,1065798,386426
8091,1151612,472240
8289,1121634,442262
8499,986345,306973
8701,978507,299135
8903,975894,296522
9104,1058512,379140
9304,965797,286425
9503,1004662,325290
9707,1038139,358767
9906,959944,280572
10104,1035018,355646
10309,1059318,379946
10508,1028538,349166
10717,987216,307844
10861,1030328,350956
11065,1006645,327273
11261,1044738,365366
11465,951670,272298
11665,1062558,383186
11869,1009126,329754
12075,1021182,341810
12272,1000199,320827
12473,1024748,345376
12678,1042602,363230
12879,1008118,328746
13079,988958,309586
13284,1002431,323059
13478,1038139,358767
13683,1353234,673862
13880,1513243,833871
14081,997667,318295
14280,1060938,381566
14484,1030475,351103
14691,984603,305231
14887,1046358,366986
15092,993312,313940
15291,981991,302619
15491,992442,313070
15690,1017198,337826
15893,1022516,343144
16099,1010731,331359
16301,997749,318377
16495,1047978,368606
16703,1029212,349840
16901,1048336,368964
17099,1015578,336206
17304,976766,297394
17507,997967,318595
17711,1028149,348777
17911,1020067,340695
18109,1052838,373466
18310,997758,318386
18506,1609621,930249
18718,962831,283459
18921,1001151,321779
19121,1002022,322650
19322,1031439,352067
19525,968056,288684
19724,1023632,344260
19922,1033398,354026
20128,1005778,326406
20324,1072278,392906
20531,967756,288384
20728,1038258,358886
20934,1002431,323059
21138,990700,311328
21287,1017574,338202
21487,1002348,322976
21681,1069327,389955
21889,1020285,340913
22094,1013970,334598
22292,997967,318595
22495,992442,313070
22694,1041486,362114
22894,1026980,347608
23096,1024748,345376
23299,996851,317479
23500,1009860,330488
23703,992388,313016
23899,997311,317939
24107,995191,315819
24304,1080378,401006
24511,993312,313940
24714,985311,305939
24910,1008010,328638
25109,1064178,384806
25313,1051218,371846
25517,1008010,328638
25719,997933,318561
25920,1006784,327412
26118,1039878,360506
26321,988087,308715
26521,985474,306102
26727,988087,308715
26928,979378,300006
27123,1019416,340044
27332,998538,319166
27526,1035018,355646
27728,1028568,349196
27930,1013589,334217
28135,1039832,360460
28331,1010718,331346
28535,1007478,328106
28737,1029147,349775
28935,1064178,384806
29139,1070658,391286
29341,1005505,326133
29542,988958,309586
29747,968056,288684
29948,972411,293039
30151,1001151,321779
30353,994183,314811
30553,1006894,327522
30752,1069038,389666
30957,1006376,327004
31157,982861,303489
31358,863030,183658
31555,918792,239420
31762,890029,210657
31961,996902,317530
32106,1006526,327154
32311,844741,165369
32511,873195,193823
32712,891327,211955
32912,889707,210335
33119,797282,117910
33318,798055,118683
33517,799902,120530
33714,864053,184681
33918,854372,175000
34128,747867,68495
34330,696496,17124
34535,692875,13503
34728,684623,5251
34923,1629320,949948
35126,750978,71606
35330,625434,0
35539,609346,0
35742,624152,0
35940,676517,0
36138,719734,40362
36345,587801,0
36549,547793,0
36749,593951,0
36945,620643,0
37148,572179,0
37348,653043,0
37551,597434,0
37758,566953,0
37959,548663,0
38163,566953,0
38359,405146,0
38553,507675,0
38760,417863,0
38959,451883,0
39160,398207,0
39368,336700,0
39568,350146,0
39768,363582,0
39969,412182,0
40179,362883,0
40363,679030,0
40577,54709,0
40779,289224,0
40933,341235,0
41128,343767,0
41337,283998,0
41523,1165163,485791
41725,910299,230927
41926,771541,92169
42127,859842,180470
42327,916607,237235
42529,727391,48019
42731,866149,186777
42931,777848,98476
43131,821999,142627
43333,922914,243542
43533,815691,136319
43734,758927,79555
43935,828306,148934
44135,796770,117398
44336,840920,161548
44537,803077,123705
44740,891378,212006
44940,840920,161548
45142,632783,0
45343,897685,218313
45548,998600,319228
45745,967064,287692
45947,847227,167855
46148,828306,148934
46349,929221,249849
46549,840920,161548
46751,1030136,350764
46953,897685,218313
47154,853535,174163
47355,803077,123705
47557,853535,174163
47758,903992,224620
47959,885071,205699
48160,784155,104783
48362,828306,148934
48562,922914,243542
48763,922914,243542
48965,872456,193084
49167,885071,205699
49367,922914,243542
49569,929221,249849
49770,948143,268771
49972,973371,293999
50173,866149,186777
50374,910299,230927
50575,922914,243542
50775,985986,306614
50978,897685,218313
51177,891378,212006
51379,872456,193084
51580,941835,262463
51780,790463,111091
51982,765234,85862
52182,948143,268771
52385,821999,142627
52586,885071,205699
52788,872456,193084
52989,941835,262463
53190,922914,243542
53391,821999,142627
53544,885071,205699
53744,941835,262463
53944,891378,212006
54146,967064,287692
54347,948143,268771
54548,796770,117398
54749,828306,148934
54950,903992,224620
55151,840920,161548
55352,859842,180470
55553,853535,174163
55754,872456,193084
55955,1168895,489523
56155,885071,205699
56358,872456,193084
56558,910299,230927
56760,878763,199391
56961,859842,180470
57163,777848,98476
57364,885071,205699
57565,973371,293999
57766,903992,224620
57967,979679,300307
58168,840920,161548
58370,803077,123705
58569,992293,312921
58772,891378,212006
58974,790463,111091
59174,929221,249849
59376,903992,224620
59578,948143,268771
59779,1263503,584131
59980,1496869,817497
60182,1433797,754425
60383,1446411,767039
