Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
23,1011221,43605
183,1489629,522013
383,1382562,414946
595,935912,0
786,1023138,55522
986,1023138,55522
1197,986345,18729
1398,991571,23955
1598,980249,12633
1798,980318,12702
1991,1078952,111336
2192,1039554,71938
2439,961960,0
2607,989829,22213
2799,1162985,195369
2998,1637649,670033
3198,2100874,1133258
3398,2048433,1080817
3608,1050471,82855
3804,1040438,72822
4009,968927,1311
4204,1066562,98946
4402,1275187,307571
4610,1019046,51430
4816,962831,0
5016,962831,0
5220,984603,16987
5419,1013276,45660
5617,992388,24772
5819,997758,30142
6025,1002022,34406
6227,1008010,40394
6426,982861,15245
6628,1054891,87275
6828,1013392,45776
7029,1052749,85133
7232,1024748,57132
7437,1029212,61596
7635,1011358,43742
7826,1603314,635698
8032,803820,0
8228,1190408,222792
8429,1183247,215631
8636,1031778,64162
8835,1077718,110102
9042,1020285,52669
9245,975023,7407
9446,977636,10020
9647,1002892,35276
9846,1062558,94942
10046,1064624,97008
10191,1918674,951058
10401,996589,28973
10605,982861,15245
10805,988441,20825
11005,1025864,58248
11207,1010242,42626
11408,1000199,32583
11608,1029759,62143
11810,1000199,32583
12008,1031778,64162
12213,994620,27004
12445,1016977,49361
12606,1439327,471711
12815,1036638,69022
13019,1008010,40394
13220,1021401,53785
13416,1079007,111391
13623,1020731,53115
13819,1086268,118652
14027,968927,1311
14228,999083,31467
14426,1062558,94942
14632,995735,28119
14835,1007247,39631
15037,986497,18881
15237,995735,28119
15434,1044738,77122
15630,1135551,167935
15846,994183,26567
16041,986345,18729
16246,981991,14375
16442,1056078,88462
16654,979378,11762
16849,1013562,45946
17051,1009126,41510
17250,1033675,66059
17453,1009126,41510
17651,1035018,67402
17855,1011358,43742
18052,1064486,96870
18248,1294261,326645
18448,1060539,92923
18651,975023,7407
18852,1001315,33699
19054,1065767,98151
19264,1021292,53676
19469,1018053,50437
19622,1000362,32746
19821,1086858,119242
20027,1000280,32664
20226,992388,24772
20426,1006894,39278
20629,1015821,48205
20820,1369947,402331
21034,859541,0
21229,1069038,101422
21430,1015578,47962
21640,986345,18729
21839,1060082,92466
22037,1144352,176736
22240,975894,8278
22443,983732,16116
22643,1001315,33699
22849,1006894,39278
23052,976765,9149
23245,1039878,72262
23447,1025149,57533
23656,1002892,35276
23855,1009126,41510
24059,972411,4795
24264,994909,27293
24461,1008989,41373
24662,944295,0
24863,1009126,41510
25066,1021401,53785
25266,1005352,37736
25468,974860,7244
25665,1035018,67402
25870,1018053,50437
26068,1039255,71639
26272,1013958,46342
26475,990972,23356
26679,996796,29180
26876,1026918,59302
27075,1000998,33382
27279,1026980,59364
27482,1000525,32909
27687,1029212,61596
27843,1019169,51553
28045,1004634,37018
28240,1020438,52822
28439,1037864,70248
28642,1020438,52822
28847,1051218,83602
29050,1010242,42626
29247,1036638,69022
29447,1043118,75502
29651,988068,20452
29854,1002431,34815
30057,990020,22404
30253,1039878,72262
30461,998538,30922
30660,1019740,52124
30860,1026918,59302
31066,988087,20471
31267,985474,17858
31467,1016937,49321
31668,990156,22540
31866,1028538,60922
32071,1052645,85029
32274,999083,31467
32471,1046358,78742
32679,983732,16116
32878,1003547,35931
33078,1005778,38162
33282,1002431,34815
33478,1039878,72262
33686,975894,8278
33882,1009098,41482
34083,1062558,94942
34277,1376255,408639
34478,1590699,623083
34679,1067202,99586
34883,1026421,58805
35082,1085681,118065
35296,957605,0
35497,977636,10020
35697,1014494,46878
35897,1026980,59364
36099,1014525,46909
36301,1040659,73043
36499,1023632,56016
36697,1018503,50887
36906,1000280,32664
37101,1065798,98182
37303,1018818,51202
37509,1003547,35931
37712,1001151,33535
37865,1001151,33535
38066,1011358,43742
38267,983415,15799
38467,991272,23656
38663,1076587,108971
38870,1009126,41510
39074,994183,26567
