Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
54,995217,333642
231,1260309,598734
433,1420662,759087
631,1326575,665000
831,1408924,747349
1033,1822649,1161074
1232,1767975,1106400
1433,1332954,671379
1633,1285579,624004
1844,866045,204470
2048,1047056,385481
2247,1443664,782089
2445,1301537,639962
2650,1357779,696204
2843,1412205,750630
3041,1985361,1323786
3240,1942344,1280769
3443,2918968,2257393
3641,2251645,1590070
3842,1711416,1049841
4045,1091645,430070
4243,1420580,759005
4443,1399665,738090
4644,1898968,1237393
4846,809868,148293
5046,1561513,899938
5246,2088792,1427217
5448,1577802,916227
5650,939612,278037
5851,1161295,499720
6052,1396168,734593
6253,1019502,357927
6454,1157117,495542
6656,1358506,696931
6859,1266845,605270
7057,1327756,666181
7278,1240935,579360
7473,1310910,649335
7673,1220237,558662
7875,1367926,706351
8077,1259473,597898
8273,1575438,913863
8474,1212150,550575
8681,1540186,878611
8881,1258787,597212
9083,1225938,564363
9286,1146107,484532
9491,1012636,351061
9684,1343626,682051
9888,1643775,982200
10084,1431765,770190
10288,833264,171689
10487,1136124,474549
10686,1034090,372515
10888,605148,0
11088,1182175,520600
11290,1210581,549006
11492,1958228,1296653
11706,394097,0
11903,1140312,478737
12104,1382125,720550
12301,1717528,1055953
12507,1292929,631354
12700,1402347,740772
12908,1034791,373216
13112,1230401,568826
13312,1362513,700938
13509,1108878,447303
13717,1271527,609952
13861,1812012,1150437
14069,1344034,682459
14265,1445956,784381
14468,1157485,495910
14675,980439,318864
14875,1260776,599201
15073,1293398,631823
15278,1201633,540058
15480,1208981,547406
15681,1361833,700258
15884,1341691,680116
16076,1358146,696571
16279,1411636,750061
16486,842066,180491
16688,1110374,448799
16885,1284407,622832
17092,1280100,618525
17285,1376986,715411
17491,1243717,582142
17693,1194337,532762
17895,1370527,708952
18102,1280301,618726
18292,1376626,715051
18497,1243607,582032
18700,1389239,727664
18896,1637625,976050
19100,1440410,778835
19299,1241573,579998
19507,1200857,539282
19695,937008,275433
19897,1262698,601123
20102,767048,105473
20299,1402900,741325
20501,1063846,402271
20701,958297,296722
20902,881190,219615
21102,988734,327159
21305,1295225,633650
21503,2237525,1575950
21711,1132251,470676
21917,756903,95328
22114,1212827,551252
22315,1381156,719581
22521,1276277,614702
22724,1736806,1075231
22922,1401946,740371
23124,1239452,577877
23323,1134252,472677
23525,1175237,513662
23737,1343433,681858
23930,1401303,739728
24125,1222601,561026
24328,919655,258080
24527,1536032,874457
24734,517641,0
24928,1506898,845323
25129,911115,249540
25331,1305351,643776
25484,1359320,697745
25697,1205988,544413
25895,1268886,607311
26096,1337164,675589
26295,1299701,638126
26502,1272778,611203
26704,1190103,528528
26899,1249880,588305
27103,1360528,698953
27307,1044456,382881
27506,1089576,428001
27708,981237,319662
27911,671379,9804
28109,1028919,367344
28307,1059004,397429
28508,979249,317674
28713,961134,299559
28914,1045105,383530
29111,1210011,548436
29320,852028,190453
29520,989283,327708
29718,888390,226815
29918,815120,153545
30115,947443,285868
30321,874039,212464
30520,846752,185177
30727,665068,3493
30929,819035,157460
31125,652662,0
31330,672483,10908
31528,832703,171128
31730,921834,260259
31931,809165,147590
32144,721944,60369
32340,789032,127457
32539,647962,0
32736,688984,27409
32947,646112,0
33140,902071,240496
33348,685448,23873
33543,648356,0
33747,521109,0
33946,546147,0
34147,715554,53979
34355,517311,0
34551,480799,0
34756,507784,0
34958,354139,0
35161,431184,0
35357,470983,0
35563,336997,0
35759,447465,0
35916,335857,0
36120,263129,0
36308,506120,0
36506,1038456,376881
36709,1136865,475290
36909,1271586,610011
37110,1269810,608235
37314,1149973,488398
37515,1332882,671307
37718,1099515,437940
37918,1225023,563448
38120,1175202,513627
38318,1105823,444248
38522,1080594,419019
38723,1023829,362254
38924,1213045,551470
39123,1181509,519934
39326,1276117,614542
39527,1206738,545163
39726,1061672,400097
39930,1250888,589313
40131,1112130,450555
40333,1244581,583006
40534,1093208,431633
40734,1105823,444248
40936,1124744,463169
41137,1225659,564084
41335,1231967,570392
41540,1259209,597634
41740,1271824,610249
41941,1074287,412712
42144,1250888,589313
42341,1200431,538856
42545,1219352,557777
42747,1175202,513627
42947,1074287,412712
43149,1187816,526241
43347,1143666,482091
43551,1250888,589313
43752,1181509,519934
43954,1181509,519934
44153,1093208,431633
44357,1149973,488398
44555,1187816,526241
44759,1049058,387483
44960,1124744,463169
45161,1129407,467832
45364,1236630,575055
45564,1154636,493061
45766,1312316,650741
45966,1282424,620849
46167,1067979,406404
46368,1225659,564084
46567,1042751,381176
46772,1282424,620849
46973,1339189,677614
47170,1112130,450555
47375,1288731,627156
47575,1061672,400097
47780,1086901,425326
47926,1219352,557777
48131,1282424,620849
48331,1233980,572405
48529,1206738,545163
48734,1149973,488398
48935,1093208,431633
49132,1086901,425326
49335,1269810,608235
49537,1200431,538856
49736,1187816,526241
49940,1162587,501012
50141,1187816,526241
50343,1200431,538856
50546,1200431,538856
50745,1149973,488398
50944,1231967,570392
51147,1225659,564084
51348,1217708,556133
51553,1175202,513627
51752,1225659,564084
51954,1175202,513627
52154,1030136,368561
52353,1231967,570392
52558,1213045,551470
52760,1030136,368561
52960,1112130,450555
53163,1288731,627156
53362,1194123,532548
53561,1200431,538856
53764,1074287,412712
53963,1168895,507320
54168,1086901,425326
54369,1326575,665000
54570,1105823,444248
54770,1162587,501012
54974,1320267,658692
55174,1177216,515641
55375,1183523,521948
55575,1175202,513627
55778,1168895,507320
55980,1080594,419019
56180,1131051,469476
56382,1231967,570392
56585,1181509,519934
56785,1187816,526241
56986,1067979,406404
57186,1200431,538856
57388,1175202,513627
57588,1124744,463169
57791,1137359,475784
57991,1156280,494705
58194,1143666,482091
58395,1263503,601928
58596,1154636,493061
58797,1124744,463169
58996,1168895,507320
59145,1219352,557777
59350,1238274,576699
59549,1206738,545163
59749,1326575,665000
59951,1799615,1138040
60152,1758629,1097054
60354,1843765,1182190
