Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
50,1102487,471237
229,2038227,1406977
428,1989860,1358610
627,1652389,1021139
829,1244031,612781
1040,1141980,510730
1234,1340843,709593
1443,1307326,676076
1643,1230690,599440
1846,1396236,764986
2037,1528373,897123
2236,1605118,973868
2437,1471623,840373
2636,1746821,1115571
2838,1579709,948459
3039,1780624,1149374
3240,1913500,1282250
3440,2236301,1605051
3644,1196527,565277
3850,1368248,736998
4051,1375878,744628
4252,1333787,702537
4455,1428916,797666
4657,1352197,720947
4859,1358904,727654
5060,1424444,793194
5259,1367588,736338
5460,1266557,635307
5665,1437782,806532
5867,1210886,579636
6071,1176836,545586
6265,1466356,835106
6465,1264937,633687
6665,1379261,748011
6869,1282097,650847
7079,1239383,608133
7274,1268268,637018
7477,1613626,982376
7675,1356338,725088
7880,988277,357027
8082,1337512,706262
8271,1781885,1150635
8482,1278495,647245
8686,1201823,570573
8881,1256837,625587
9086,1685565,1054315
9287,1290015,658765
9489,1388917,757667
9688,1269036,637786
9891,1256421,625171
10088,1373970,742720
10293,1234037,602787
10445,1382234,750984
10644,1198577,567327
10847,1504175,872925
11053,1116823,485573
11248,1494247,862997
11453,1300159,668909
11654,1249875,618625
11852,1436807,805557
12051,1354043,722793
12255,1165135,533885
12452,1350538,719288
12653,886228,254978
12850,1273076,641826
13052,1071045,439795
13254,1590187,958937
13453,850555,219305
13658,1317535,686285
13856,1643372,1012122
14057,1590699,959449
14257,1049441,418191
14460,822863,191613
14662,606368,0
14861,1105823,474573
15064,1816058,1184808
15268,1107664,476414
15467,1121371,490121
15667,997425,366175
15868,898849,267599
16070,778552,147302
16272,824026,192776
16472,1175941,544691
16673,1991699,1360449
16874,1381888,750638
17079,537463,0
17275,1153813,522563
17475,1638216,1006966
17687,1305794,674544
17887,1551982,920732
18088,1480276,849026
18286,1423507,792257
18483,2044174,1412924
18685,1109609,478359
18888,1126071,494821
19086,1927639,1296389
19295,930799,299549
19491,954581,323331
19691,913581,282331
19894,1183275,552025
20093,809958,178708
20298,1080034,448784
20497,679473,48223
20696,919672,288422
20896,1089666,458416
21099,1607625,976375
21299,1216110,584860
21500,1027302,396052
21696,1198760,567510
21899,1146782,515532
22098,1355320,724070
22302,1329466,698216
22503,1089640,458390
22705,1349785,718535
22855,889570,258320
23055,1115199,483949
23257,1646500,1015250
23457,1074533,443283
23657,1222203,590953
23862,850043,218793
24061,1430571,799321
24263,388792,0
24466,945798,314548
24667,1196980,565730
24867,1058195,426945
25067,1211469,580219
25270,522856,0
25471,1349471,718221
25673,771541,140291
25874,1337274,706024
26075,941974,310724
26276,774455,143205
26476,775985,144735
26678,1027398,396148
26878,991448,360198
27080,1115568,484318
27280,932837,301587
27482,541540,0
27683,1034373,403123
27882,605376,0
28089,1134746,503496
28289,894737,263487
28490,996940,365690
28698,531354,0
28898,519318,0
29096,1474858,843608
29298,864815,233565
29498,849854,218604
29698,899292,268042
29904,715962,84712
30102,914685,283435
30304,755274,124024
30508,535741,0
30709,612738,0
30910,744066,112816
31108,727688,96438
31314,409376,0
31513,553008,0
31724,245503,0
31918,418563,0
32120,496817,0
32323,455176,0
32520,579754,0
32725,350852,0
32921,748823,117573
33126,599753,0
33326,1352603,721353
33530,1055365,424115
33678,1118437,487187
33878,1269810,638560
34080,1225659,594409
34282,1131051,499801
34482,1118437,487187
34683,1080594,449344
34884,1105823,474573
35085,1402261,771011
35288,1194123,562873
35485,1181509,550259
35690,1198786,567536
35890,1173558,542308
36089,1118437,487187
36296,1175202,543952
36494,1282424,651174
36696,1036443,405193
36894,1257195,625945
37099,1213045,581795
37301,1244581,613331
37501,1225659,594409
37700,1137359,506109
37903,1231967,600717
38105,1244581,613331
38306,1326575,695325
38508,1124744,493494
38707,1213045,581795
38912,1200431,569181
39112,1269810,638560
39315,1233980,602730
39517,1246595,615345
39717,1322281,691031
39919,1196137,564887
40116,1269810,638560
40321,1213045,581795
40522,1124744,493494
40723,1168894,537644
40925,1036443,405193
41127,1175202,543952
41325,1288731,657481
41528,1332882,701632
41730,1187816,556566
41928,1137359,506109
42132,1250888,619638
42334,1257195,625945
42531,1189830,558580
42739,1290745,659495
42938,1196137,564887
43138,1221366,590116
43338,1250888,619638
43540,1225659,594409
