Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
45,848395,0
226,1851175,928391
427,1214002,291218
627,1677051,754267
829,1947670,1024886
1031,1145338,222554
1229,1117224,194440
1429,1235830,313046
1630,1256093,333309
1831,1380471,457687
2032,1570992,648208
2245,952797,30013
2436,1353993,431209
2642,1413716,490932
2847,1422702,499918
3038,2204902,1282118
3239,2241298,1318514
3438,2384698,1461914
3650,1077442,154658
3847,1388862,466078
4052,1316054,393270
4258,1256611,333827
4456,1405960,483176
4644,1822387,899603
4857,1287504,364720
5052,1403115,480331
5262,1319538,396754
5460,1343222,420438
5662,1273977,351193
5866,1234593,311809
6061,1442504,519720
6269,1318857,396073
6463,1445202,522418
6668,1503553,580769
6872,1265919,343135
7069,1301537,378753
7271,1377616,454832
7470,1440477,517693
7667,1454321,531537
7872,1052081,129297
8070,863380,0
8270,1419720,496936
8470,1224217,301433
8672,1573336,650552
8875,1141661,218877
9074,1037020,114236
9276,1321778,398994
9481,996435,73651
9677,1289371,366587
9883,745048,0
10082,706112,0
10283,831299,0
10481,1557072,634288
10634,1122270,199486
10833,1485212,562428
11037,1211134,288350
11239,1006034,83250
11436,1007192,84408
11640,1080657,157873
11843,1202379,279595
12041,1778965,856181
12242,1296245,373461
12442,1313217,390433
12652,617341,0
12849,1331381,408597
13051,1388668,465884
13247,1986410,1063626
13449,1431212,508428
13650,1012500,89716
13851,1090879,168095
14055,1091169,168385
14257,818543,0
14453,1403177,480393
14655,1186230,263446
14857,910016,0
15060,1771836,849052
15261,1109683,186899
15460,1136535,213751
15658,1507182,584398
15860,1399392,476608
16062,967797,45013
16266,980365,57581
16466,1518444,595660
16668,974529,51745
16870,1151098,228314
17070,1023829,101045
17271,845385,0
17473,1050952,128168
17674,948785,26001
17875,1130758,207974
18078,1291755,368971
18277,952183,29399
18477,1705646,782862
18682,1207187,284403
18885,1718806,796022
19083,1353151,430367
19285,1014339,91555
19486,755816,0
19686,1384542,461758
19891,927529,4745
20090,1115789,193005
20294,1048045,125261
20492,1085563,162779
20695,1272267,349483
20907,728145,0
21101,1580295,657511
21302,1371136,448352
21509,1283406,360622
21712,999488,76704
21922,1182853,260069
22061,1284046,361262
22261,1307290,384506
22457,1480093,557309
22657,1768825,846041
22857,1040200,117416
23059,1043424,120640
23261,1139232,216448
23462,1109834,187050
23664,854841,0
23863,1219352,296568
24065,1371364,448580
24268,1409661,486877
24479,1132420,209636
24677,1450371,527587
24876,1208237,285453
25080,1431706,508922
25283,1252257,329473
25476,1431405,508621
25680,1435690,512906
25888,1009818,87034
26083,1438417,515633
26283,1426884,504100
26495,1067418,144634
26692,1378382,455598
26892,1428551,505767
27092,1526483,603699
27288,1018990,96206
27492,1168427,245643
27695,1256867,334083
27903,1284972,362188
28097,1446616,523832
28303,1588335,665551
28503,1465461,542677
28697,1382845,460061
28897,621627,0
29100,593059,0
29301,857827,0
29505,685887,0
29700,1017072,94288
29902,1483459,560675
30104,918655,0
30309,811969,0
30511,623747,0
30707,1328470,405686
30908,1213358,290574
31110,1114388,191604
31310,1393369,470585
31512,1245504,322720
31714,1300461,377677
31927,1167400,244616
32128,1325346,402562
32324,1557292,634508
32519,1227750,304966
32720,1535635,612851
32918,789111,0
33119,1556364,633580
33272,917706,0
33470,1255481,332697
33673,1126451,203667
33881,1375251,452467
34086,1275947,353163
34289,1194091,271307
34492,1660107,737323
34695,1279773,356989
34894,1265654,342870
35095,1393516,470732
35298,1029543,106759
35492,1577743,654959
35696,1517206,594422
35894,1594161,671377
36094,1914239,991455
36307,1721819,799035
36504,1221921,299137
36710,1291053,368269
36910,1308650,385866
