Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
50,1413954,485159
227,1885708,956913
426,1533084,604289
639,1286824,358029
833,1540097,611302
1037,1347166,418371
1243,1228742,299947
1439,1265047,336252
1644,933109,4314
1847,1232606,303811
2045,1446560,517765
2244,1362272,433477
2442,1466583,537788
2646,1443693,514898
2852,1330655,401860
3042,1963781,1034986
3242,2193640,1264845
3443,3081255,2152460
3643,1905600,976805
3843,1398826,470031
4050,1220583,291788
4253,1340758,411963
4454,1573160,644365
4658,1326505,397710
4854,1518795,590000
5054,1331693,402898
5262,1278305,349510
5453,1552127,623332
5662,1360091,431296
5861,1205658,276863
6059,1282302,353507
6257,971974,43179
6455,1398749,469954
6657,1868465,939670
6858,1656571,727776
7061,1181827,253032
7260,1309709,380914
7464,845244,0
7662,1437944,509149
7865,1454135,525340
8066,1668902,740107
8266,1340018,411223
8467,1527234,598439
8668,1164077,235282
8876,659750,0
9081,1271527,342732
9276,1722162,793367
9484,1157976,229181
9683,1263308,334513
9885,1387336,458541
10090,1111773,182978
10291,1296658,367863
10487,1251004,322209
10694,1369672,440877
10893,1330666,401871
11100,1268555,339760
11293,950868,22073
11496,1376565,447770
11700,1245371,316576
11847,1346536,417741
12053,1379896,451101
12249,1333937,405142
12449,1756154,827359
12657,972872,44077
12860,1450494,521699
13059,1328858,400063
13263,1380122,451327
13454,1215962,287167
13667,937353,8558
13860,1382493,453698
14066,1327648,398853
14260,1446378,517583
14462,1306751,377956
14667,1401256,472461
14874,1325444,396649
15074,1236960,308165
15268,1423606,494811
15469,1356186,427391
15667,1626994,698199
15868,695146,0
16075,1192706,263911
16273,1292440,363645
16474,1363737,434942
16676,1264978,336183
16877,977006,48211
17081,885257,0
17280,443298,0
17482,869213,0
17679,809958,0
17884,610844,0
18084,1612901,684106
18288,1388495,459700
18485,1069993,141198
18687,756448,0
18887,1266336,337541
19088,1216736,287941
19288,1117991,189196
19492,1502663,573868
19697,1313715,384920
19902,1018896,90101
20106,1243548,314753
20303,1387716,458921
20505,1263308,334513
20699,1512006,583211
20905,875124,0
21100,671505,0
21301,1152459,223664
21504,1173920,245125
