Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,1349215,444735
191,2071145,1166665
392,2053868,1149388
605,1500938,596458
811,1423995,519515
1006,1422619,518139
1195,1552918,648438
1403,1461067,556587
1605,1457252,552772
1811,1463867,559387
2012,1354551,450071
2202,2143423,1238943
2397,2030964,1126484
2599,594809,0
2800,1074691,170211
3000,1244672,340192
3200,2313623,1409143
3407,1730495,826015
3611,1455071,550591
3816,1452610,548130
4022,1344598,440118
4215,1286911,382431
4416,1683365,778885
4615,1537463,632983
4816,1140959,236479
5025,353001,0
5223,1982860,1078380
5426,1162729,258249
5626,970007,65527
5824,1134547,230067
6023,1273103,368623
6224,1305175,400695
6426,1015971,111491
6625,1698463,793983
6827,1239463,334983
7029,1420626,516146
7231,1611307,706827
7430,1368519,464039
7630,983262,78782
7840,1342423,437943
8034,872163,0
8234,2114723,1210243
8430,1029931,125451
8637,1628124,723644
8839,999917,95437
9041,337518,0
9245,1390889,486409
9445,907120,2640
9644,1420402,515922
9844,1191408,286928
10047,1173827,269347
10245,1274372,369892
10453,1059606,155126
10648,1736053,831573
10851,1301257,396777
11062,128225,0
11251,2023140,1118660
11446,1873603,969123
11648,1234757,330277
11849,1138980,234500
12050,894097,0
12201,2165837,1261357
12409,1035369,130889
12607,1522353,617873
12811,377319,0
13011,1375391,470911
13212,1884211,979731
13414,1010015,105535
13615,1711761,807281
13815,777052,0
14026,1132121,227641
14221,1387367,482887
14423,1372257,467777
14620,1578576,674096
14820,1302631,398151
15026,701197,0
15232,1434191,529711
15438,1504594,600114
15627,1532051,627571
15847,1298949,394469
16031,1468401,563921
16232,1051447,146967
16432,1253962,349482
16632,1348935,444455
16834,972582,68102
17034,1452058,547578
17235,2192223,1287743
17434,1097186,192706
17638,1091758,187278
17838,1436401,531921
18043,478899,0
18249,1243032,338552
18449,1144055,239575
18646,763724,0
18846,1505078,600598
19046,1060538,156058
19246,967962,63482
19444,1541948,637468
19642,1487093,582613
19848,2059930,1155450
20048,1398717,494237
20252,259372,0
20457,793271,0
20656,1558948,654468
20861,347255,0
21059,1073532,169052
21258,1311184,406704
21461,1170663,266183
21660,1759728,855248
21860,1640030,735550
22062,1359151,454671
22273,943510,39030
22472,1241690,337210
22672,1515686,611206
22882,847874,0
23073,1223194,318714
23273,1138748,234268
23476,1956230,1051750
23673,1561474,656994
23875,1656046,751566
24076,994005,89525
24275,1453529,549049
24478,1379529,475049
24680,944449,39969
24881,1274142,369662
25079,1609366,704886
25230,1163435,258955
25432,929890,25410
25638,713992,0
25835,1481662,577182
26037,1167474,262994
26243,702085,0
26438,1288777,384297
26638,1656706,752226
26845,1102159,197679
