Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
112,813330,78751
273,1371651,637072
473,1251814,517235
681,673977,0
879,784639,50060
1081,833042,98463
1282,784639,50060
1482,813407,78828
1685,787059,52480
1840,763853,29274
2048,681788,0
2245,804331,69752
2443,876605,142026
2649,748145,13566
2848,788893,54314
3048,1269112,534533
3242,1769005,1034426
3445,1977142,1242563
3643,1150922,416343
3849,740791,6212
4057,810976,76397
4262,674054,0
4457,847279,112700
4659,996301,261722
4865,702541,0
5072,749804,15225
5269,804653,70074
5466,746281,11702
5672,708647,0
5872,765966,31387
6069,758017,23438
6279,782166,47587
6474,697410,0
6675,806094,71515
6888,706337,0
7080,912932,178353
7286,690442,0
7490,743161,8582
7687,736806,2227
7894,754626,20047
8087,869344,134765
8301,753678,19099
8494,1011749,277170
8699,785213,50634
8900,782166,47587
9101,816101,81522
9304,803226,68647
9505,830622,96043
9706,774066,39487
9910,682904,0
10108,790266,55687
10313,713327,0
10513,773532,38953
10714,783785,49206
10859,893546,158967
11070,715881,0
11270,808419,73840
11474,745800,11221
11681,774066,39487
11880,750972,16393
12085,685390,0
12280,814566,79987
12483,756404,21825
12692,728371,0
12889,777306,42727
13090,738426,3847
13302,688812,0
13487,1304021,569442
13698,729198,0
13900,832407,97828
14100,838171,103592
14306,775515,40936
14505,905329,170750
14708,802272,67693
14909,706337,0
15116,753006,18427
15313,879119,144540
15511,751386,16807
15716,793506,58927
15912,859607,125028
16117,779338,44759
16320,804846,70267
16524,647086,0
16722,840706,106127
16927,778926,44347
17127,879025,144446
17332,751386,16807
17539,788646,54067
17678,879121,144542
17888,823361,88782
18086,835462,100883
18293,752886,18307
18494,769086,34507
18683,911053,176474
18898,738426,3847
19099,816186,81607
19302,685569,0
19497,778926,44347
19706,713032,0
19904,806466,71887
20101,712505,0
20300,874185,139606
20508,710262,0
20705,806466,71887
20916,793309,58730
21111,798449,63870
21305,884787,150208
21512,770825,36246
21720,791557,56978
21922,733118,0
22122,770825,36246
22324,903227,168648
22528,721593,0
22723,960301,225722
22928,688264,0
23131,716380,0
23332,774066,39487
23543,853586,119007
23735,1014629,280050
23931,943885,209306
24144,757865,23286
24354,729627,0
24549,783786,49207
24743,780006,45427
24948,787026,52447
25150,796739,62160
25356,711916,0
25503,779322,44743
25702,930545,195966
25904,736806,2227
26109,738346,3767
26312,687802,0
26511,765959,31380
26714,744577,9998
26914,757866,23287
27119,749766,15187
27317,720606,0
27520,859059,124480
27729,683909,0
27932,811184,76605
28128,786982,52403
28338,721959,0
28533,847563,112984
28735,697510,0
28933,785406,50827
29141,730886,0
29333,813681,79102
29542,761106,26527
29742,777306,42727
29932,1775312,1040733
30144,679556,0
30341,908067,173488
30555,703499,0
30744,966867,232288
30952,821659,87080
31151,984520,249941
31356,960185,225606
31554,852082,117503
31769,695007,0
31966,750985,16406
32166,773164,38585
32369,904409,169830
32572,714148,0
32770,798366,63787
32971,731945,0
33123,710886,0
33329,836404,101825
33521,835462,100883
33731,714148,0
33928,775686,41107
34132,682086,0
34330,836673,102094
34531,789572,54993
34737,744611,10032
34939,705221,0
35141,751952,17373
35343,695178,0
35545,758469,23890
35749,696048,0
35949,795126,60547
36152,743734,9155
36348,884442,149863
36549,815650,81071
36755,749766,15187
36959,791751,57172
37155,748621,14042
37356,788645,54066
37564,695178,0
37761,775686,41107
37966,704105,0
38162,862363,127784
38371,686440,0
38568,789479,54900
38772,787026,52447
38972,851717,117138
39181,721959,0
39374,875874,141295
39577,845143,110564
39777,806420,71841
39981,804846,70267
40185,805309,70730
40392,811124,76545
40586,780251,45672
40787,894637,160058
40983,937318,202739
41193,798936,64357
41393,751386,16807
41591,917748,183169
41794,780348,45769
41999,753604,19025
42154,795126,60547
42349,838866,104287
42550,758315,23736
42751,804183,69604
42960,750406,15827
43160,795377,60798
43362,749765,15186
43565,835129,100550
43768,712174,0
43969,748684,14105
44171,767183,32604
44375,782451,47872
44577,795126,60547
44781,761106,26527
44980,738426,3847
45183,736806,2227
45387,729770,0
45584,809782,75203
45788,820592,86013
45985,922588,188009
46191,790142,55563
46398,816186,81607
46589,835462,100883
46791,819426,84847
46992,850051,115472
47202,684699,0
47397,912447,177868
47603,673377,0
47801,726414,0
48004,743041,8462
48207,840086,105507
48402,792742,58163
48607,786573,51994
48813,724486,0
49015,806094,71515
49217,802447,67868
49417,762725,28146
49621,785071,50492
49773,853873,119294
49974,870538,135959
50179,782166,47587
50380,956790,222211
50583,687367,0
50781,809916,75337
50986,787952,53373
51183,793138,58559
51390,777426,42847
51591,713032,0
51788,833042,98463
51994,767586,33007
52197,806466,71887
52393,846469,111890
52597,842723,108144
52798,765959,31380
53003,802272,67693
53203,769206,34627
53409,816186,81607
53607,783786,49207
53809,826795,92216
54018,682904,0
54218,727086,0
54416,841030,106451
54621,788370,53791
54827,733769,0
55023,1039098,304519
55231,769206,34627
55426,885921,151342
55630,838508,103929
55837,716380,0
56037,787026,52447
56234,798449,63870
56437,901203,166624
56648,676860,0
56788,1008636,274057
56990,699642,0
57189,744906,10327
57399,689350,0
57596,875096,140517
57796,787026,52447
58000,815290,80711
58195,903343,168764
58406,729126,0
58609,862084,127505
58806,780133,45554
59012,762726,28147
59209,815808,81229
59412,828202,93623
59612,847563,112984
59804,1428416,693837
60004,1789198,1054619
,,
