Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
39,1142522,433879
205,2007278,1298635
405,1541222,832579
605,1394955,686312
807,1376823,668180
1018,1101758,393115
1222,1116619,407976
1422,1120048,411405
1624,1143400,434757
1826,1105242,396599
2027,1162722,454079
2225,1096533,387890
2420,1167851,459208
2623,1161266,452623
2824,1148306,439663
3019,1866727,1158084
3239,1004941,296298
3445,1100017,391374
3634,1183140,474497
3837,1099146,390503
4036,1137821,429178
4226,1251251,542608
4429,1189066,480423
4630,1170413,461770
4839,1256017,547374
5038,1109597,400954
5233,1186735,478092
5431,1179021,470378
5644,1089566,380923
5844,1096533,387890
6036,1184403,475760
6237,1193730,485087
6444,1123315,414672
6641,1167851,459208
6853,1095662,387019
7050,1096533,387890
7241,2559375,1850732
7441,2483268,1774625
7654,1086082,377439
7850,1154786,446143
8048,1197486,488843
8260,1113080,404437
8451,1207719,499076
8655,1096884,388241
8866,1111339,402696
9064,1105242,396599
9253,1335111,626468
9469,1090437,381794
9661,1170986,462343
9870,1144951,436308
10072,1107338,398695
10272,1113080,404437
10428,1137498,428855
10618,1213719,505076
10821,1167746,459103
11024,1128866,420223
11228,1137466,428823
11431,1109951,401308
11627,1156406,447763
11833,1121789,413146
12035,1128757,420114
12226,1179740,471097
12429,1205388,496745
12638,1105242,396599
12839,1105242,396599
13039,1115095,406452
13241,1100017,391374
13442,1105242,396599
13644,1110468,401825
13846,1129628,420985
14046,1138399,429756
14249,1105242,396599
14451,1112209,403566
14645,1136966,428323
14847,1167746,459103
15048,1172606,463963
15249,1149926,441283
15455,1092178,383535
15657,1120320,411677
15848,1257818,549175
16057,1119967,411324
16259,1092591,383948
16465,1145456,436813
16662,1147864,439221
16868,1130876,422233
17066,1231970,523327
17270,1105242,396599
17469,1116564,407921
17658,1434851,726208
17872,1100017,391374
18073,1132513,423870
18271,1151546,442903
18473,1142284,433641
18683,1166369,457726
18879,1098275,389632
19078,1166126,457483
19281,1044363,335720
19484,1104371,395728
19681,1124430,415787
19880,1177466,468823
20089,1108726,400083
20289,1100017,391374
20490,1135579,426936
20691,1181495,472852
20892,1100888,392245
21088,1151546,442903
21244,1138937,430294
21449,1153443,444800
21642,1185566,476923
21851,1110468,401825
22052,1102629,393986
22245,1150651,442008
22452,1151211,442568
22654,1176090,467447
22856,1098629,389986
23059,1132077,423434
23254,1196906,488263
23454,1153166,444523
23659,1119967,411324
23866,1105242,396599
24065,1142691,434048
24265,1115693,407050
24468,1101758,393115
24666,1065168,356525
24874,1152327,443684
25078,1105242,396599
25268,1180706,472063
25472,1150095,441452
25678,1138937,430294
25868,1205388,496745
26078,1126144,417501
26279,1133357,424714
26480,1179086,470443
26685,1135589,426946
26886,1052201,343558
27077,1184403,475760
27287,1155112,446469
27486,1123315,414672
27680,1254534,545891
27889,1524844,816201
28094,802985,94342
28292,1804359,1095716
28495,1108726,400083
28691,1136966,428323
28895,1130010,421367
29096,1156326,447683
29294,1164506,455863
29502,1166126,457483
29704,1114822,406179
29904,1060160,351517
30106,1109597,400954
30308,1104371,395728
30499,1051111,342468
30718,160188,0
30912,1110468,401825
31106,1135346,426703
31313,1113080,404437
31517,1191383,482740
31716,1117435,408792
31911,1153166,444523
32116,1132242,423599
32312,1228165,519522
32517,1339466,630823
32667,1204163,495520
32870,1143446,434803
33076,1143269,434626
33280,1097404,388761
33481,1144516,435873
33684,1105242,396599
33884,1105242,396599
34085,1105242,396599
34282,1146686,438043
34487,1130010,421367
34688,1159291,450648
34891,1147576,438933
35100,1136459,427816
35283,1175228,466585
35496,1093049,384406
35698,1104371,395728
35896,1124430,415787
36102,1135752,427109
36295,1169366,460723
36502,1148311,439668
36699,1170986,462343
36908,1140950,432307
37108,1104371,395728
37309,1101758,393115
37511,1113080,404437
37712,1143400,434757
37914,1101758,393115
38109,1191398,482755
38317,1131284,422641
38516,1247253,538610
38724,921266,212623
38919,1134473,425830
39119,1159646,451003
39323,1146748,438105
39526,1142284,433641
39730,1130689,422046
39923,1190426,481783
40134,1140053,431410
40332,1113951,405308
40525,1165750,457107
40736,1105242,396599
40934,1145632,436989
41136,1121057,412414
41338,1123531,414888
41531,1080065,371422
41735,1172606,463963
41949,1123315,414672
42146,1106984,398341
42285,1247688,539045
42502,1109597,400954
42692,1192046,483403
42895,1158026,449383
43096,1174226,465583
43298,1170181,461538
43505,1143400,434757
43698,1135346,426703
43905,1106113,397470
44100,1175846,467203
44314,1107910,399267
44503,1209866,501223
44709,1128894,420251
44911,1118306,409663
45107,1167746,459103
45312,1134473,425830
45515,1117435,408792
45708,1118632,409989
45915,1140053,431410
46108,1222587,513944
46321,1108808,400165
46512,1212383,503740
46720,1140053,431410
46917,1143446,434803
47122,1165223,456580
47325,1127778,419135
47521,1187186,478543
47732,1115503,406860
47930,1158720,450077
48132,1155983,447340
48327,1103364,394721
48533,1125546,416903
48722,2066521,1357878
48934,878759,170116
49137,1690566,981923
49339,987766,279123
49540,984282,275639
49729,1357903,649260
49944,276687,0
50141,990325,281682
50345,218875,0
50540,1068646,360003
50739,291911,0
50940,1046020,337377
51138,1186330,477687
51337,678818,0
51543,1051754,343111
51743,1217046,508403
51945,654921,0
52144,1097547,388904
52347,967244,258601
52547,331550,0
52748,1104542,395899
52948,1182071,473428
53149,1095215,386572
53351,1238031,529388
53548,1114612,405969
53747,934309,225666
53961,222462,0
54152,772041,63398
54365,660350,0
54559,650347,0
54767,643099,0
54965,665527,0
55119,625356,0
55325,665527,0
55521,608154,0
55726,593349,0
55915,677117,0
56117,665296,0
56329,611992,0
56528,991723,283080
56731,615992,0
56933,611638,0
57132,1141869,433226
57329,1195286,486643
57535,1157303,448660
57739,1101758,393115
57930,1184281,475638
58136,1123315,414672
58340,1120919,412276
58546,1143400,434757
58730,1290228,581585
58936,1195437,486794
59138,1159646,451003
59344,1123315,414672
59535,1790284,1081641
59750,1730713,1022070
,,
,,
