Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
44,1157642,212988
202,1813685,869031
402,1531201,586547
606,1222450,277796
820,530812,0
1020,618133,0
1222,1114822,170168
1421,1138937,194283
1614,1233743,289089
1816,1156423,211769
2025,1111339,166685
2216,1211853,267199
2427,1090437,145783
2621,1219378,274724
2821,1156423,211769
3026,1159646,214992
3220,1957087,1012433
3420,1317794,373140
3632,1237931,293277
3834,1078244,133590
4030,1262848,318194
4237,1093049,148395
4426,1284083,339429
4627,1211431,266777
4829,1156423,211769
5037,1127778,183124
5240,1113951,169297
5436,1192046,247392
5641,1096533,151879
5832,1205286,260632
6042,1126372,181718
6231,1291438,346784
6442,1121083,176429
6644,1154299,209645
6846,1117435,172781
7048,1129628,184974
7248,1210239,265585
7439,1648773,704119
7652,1099146,154492
7849,1111046,166392
8054,1154559,209905
8257,1095298,150644
8458,1124402,179748
8658,1131126,186472
8851,1186330,241676
9056,1135346,190692
9262,1096533,151879
9465,1136480,191826
9657,1179740,235086
9858,1194592,249938
10069,1113080,168426
10268,1123315,178661
10470,1142284,197630
10678,1101758,157104
10867,1190785,246131
11070,1151546,206892
11276,1137821,193167
11419,1228165,283511
11632,1146323,201669
11830,1104371,159717
12031,1120048,175394
12225,1148739,204085
12424,1194697,250043
12642,1147210,202556
12835,1111339,166685
13038,1109597,164943
13239,1100888,156234
13438,1140053,195399
13644,1118306,173652
13835,1233368,288714
14042,1126662,182008
14244,1144516,199862
14446,1101758,157104
14643,1148306,203652
14847,1136025,191371
15042,1182071,237417
15249,1157829,213175
15452,1123708,179054
15652,1133357,188703
15849,1180706,236052
16056,1129628,184974
16258,1117735,173081
16459,1068748,124094
16651,1369446,424792
16861,1135589,190935
17063,1163964,219310
17264,1148980,204326
17462,1183946,239292
17668,1158026,213372
17872,1104371,159717
18080,1104371,159717
18265,1177408,232754
18466,1399942,455288
18666,1165750,221096
18875,1089566,144912
19067,1177408,232754
19269,1186735,242081
19472,1145066,200412
19673,1135346,190692
19884,1093049,148395
20083,1089566,144912
20275,1247357,302703
20478,1151546,206892
20684,1117735,173081
20875,1215423,270769
21087,1085211,140557
21276,1300202,355548
21489,1079756,135102
21697,915947,0
21894,1182303,237649
22093,1098275,153621
22289,1209897,265243
22483,1210436,265782
22683,1179028,234374
22884,1350739,406085
23086,1063670,119016
23300,972089,27435
23443,1081453,136799
23649,1155029,210375
23851,1128894,184240
24047,1162886,218232
24252,1138937,194283
24454,1142284,197630
24659,1120048,175394
24845,1479734,535080
25061,1097404,152750
25259,1100888,156234
25461,1092178,147524
25662,1110468,165814
25867,1154559,209905
26066,1100017,155363
26273,1111339,166685
26465,1143400,198746
26668,1114388,169734
26865,1160206,215552
27069,1128894,184240
27272,1130010,185356
27474,1073103,128449
27676,1108726,164072
27869,1165940,221286
28075,1103229,158575
28276,1141242,196588
28477,1170986,226332
28677,1146686,202032
28882,1104371,159717
29085,1102629,157975
29285,1102629,157975
29487,1127886,183232
29684,1172606,227952
29884,1172606,227952
30091,1106911,162257
30286,1159646,214992
30495,1123531,178877
30688,1139184,194530
30895,1123933,179279
31091,1153166,208512
31286,1389968,445314
31487,1205449,260795
31699,1131697,187043
31899,1152327,207673
32106,1134473,189819
32298,1187186,242532
32505,1088695,144041
32705,1127778,183124
32902,1153166,208512
33115,1114822,170168
33311,1174728,230074
33513,1094791,150137
33701,1942366,997712
33918,965857,21203
34119,1591323,646669
34320,1113080,168426
34523,1082547,137893
34668,1245587,300933
34874,1122960,178306
35067,1177466,232812
35278,1135589,190935
35476,1105242,160588
35678,1117435,172781
35879,1105242,160588
36080,1127015,182361
36281,1121789,177135
36481,1135589,190935
36689,1136541,191887
36889,1106984,162330
37089,1125869,181215
37288,1122199,177545
37495,1111339,166685
37694,1144433,199779
37895,1109597,164943
38094,1147864,203210
38298,1004831,60177
38498,1183092,238438
38701,1131126,186472
38903,1125273,180619
39105,983411,38757
39297,1191398,246744
39505,1023801,79147
39697,1270950,326296
39909,1079115,134461
40112,1121789,177135
40306,1164506,219852
40513,1115693,171039
40709,1177466,232812
40918,1113080,168426
41109,1074230,129576
41318,1129073,184419
41515,1139004,194350
41721,1116564,171910
41923,1100017,155363
42122,1046262,101608
42325,1106113,161459
42520,1050775,106121
42724,1159646,214992
42933,1104371,159717
43132,1000829,56175
43333,1102629,157975
43538,1105242,160588
43731,1195286,250632
43939,1023801,79147
44077,1792175,847521
44292,1123315,178661
44492,1167917,223263
44692,1027149,82495
44897,988637,43983
45097,1090437,145783
45288,1256055,311401
45500,974702,30048
45695,1161266,216612
45903,1135698,191044
46098,1182326,237672
46306,1130608,185954
46503,1091888,147234
46709,1001700,57046
46906,1007035,62381
47103,1116200,171546
47307,1156406,211752
47512,1116564,171910
47714,1152606,207952
47917,1063735,119081
48118,992991,48337
48319,1102629,157975
48514,1075075,130421
48716,1189066,244412
48923,1111339,166685
49123,1126077,181423
49322,1140053,195399
49518,1117490,172836
49721,1028820,84166
49927,1013758,69104
50125,1175846,231192
50335,1065264,120610
50533,1017377,72723
50728,1203056,258402
50940,982540,37886
51139,1027188,82534
51342,999088,54434
51544,1012151,67497
51744,1105242,160588
51944,1113951,169297
52147,1193666,249012
52347,1113951,169297
52540,1196061,251407
52741,1055577,110923
52942,1076562,131908
53147,1166126,221472
53359,1141168,196514
53557,997346,52692
53757,1152871,208217
53957,992557,47903
54157,1160138,215484
54357,1190785,246131
54570,1126144,181490
54765,999442,54788
54962,1122199,177545
55107,1191757,247103
55317,391876,0
55519,1805387,860733
55720,1102629,157975
55923,1108726,164072
56115,1193730,249076
56324,1009295,64641
56526,1163870,219216
56727,1118851,174197
56917,1444825,500171
57129,1112209,167555
57331,1060039,115385
57527,1227097,282443
57733,1010409,65755
57936,991249,46595
58138,1101758,157104
58333,1164506,219852
58531,1167692,223038
58740,1017106,72452
58943,1015006,70352
59136,1116200,171546
59342,1167746,223092
59534,1835256,890602
59746,754229,0
59948,1159699,215045
,,
