Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
62,1059516,174738
228,1669185,784407
437,1153768,268990
635,1069038,184260
836,1051218,166440
1034,1088874,204096
1242,980249,95471
1443,985474,100696
1635,1108501,223723
1836,1023138,138360
2044,970669,85891
2238,1072386,187608
2442,1035018,150240
2648,1000579,115801
2843,1067418,182640
3041,1294261,409483
3240,1504524,619746
3441,1414098,529320
3654,991571,106793
3849,1043118,158340
4053,985407,100629
4252,1067962,183184
4454,1055901,171123
4654,1070959,186181
4859,1181317,296539
5053,1108277,223499
5262,970669,85891
5463,988087,103309
5658,1033398,148620
5864,1000280,115502
6058,1105629,220851
6267,1030328,145550
6472,1005505,120727
6672,1008989,124211
6872,1002022,117244
7074,992442,107664
7273,1054458,169680
7478,1052645,167867
7679,1008989,124211
7877,1134671,249893
8082,1007819,123041
8278,1039878,155100
8473,1527627,642849
8678,1057226,172448
8882,1046358,161580
9084,1078758,193980
9287,1012341,127563
9494,995925,111147
9687,1078662,193884
9891,1020285,135507
10094,1035907,151129
10293,1077138,192360
10490,1105629,220851
10694,1005888,121110
10895,1134671,249893
11103,989829,105051
11254,1020285,135507
11453,1103058,218280
11655,1022516,137738
11853,1052838,168060
12055,1060938,176160
12256,1080378,195600
12463,1018053,133275
12659,1056078,171300
12862,1057698,172920
13067,1026980,142202
13268,1029891,145113
13470,954121,69343
13672,978507,93729
13872,1008118,123340
14073,987216,102438
14273,1002892,118114
14474,978507,93729
14675,997667,112889
14881,965443,80665
15076,1017405,132627
15276,1064178,179400
15477,1039878,155100
15683,1026980,142202
15879,1028538,143760
16085,989829,105051
16289,1005505,120727
16484,1062558,177780
16685,1047978,163200
16889,1060938,176160
17093,1031601,146823
17298,986345,101567
17498,1053761,168983
17693,1070658,185880
17899,1035907,151129
18097,1081998,197220
18305,957685,72907
18500,1056078,171300
18702,1021401,136623
18905,986345,101567
19105,986345,101567
19306,1039255,154477
19505,1078758,193980
19709,1051218,166440
19908,1098198,213420
20115,1015767,130989
20314,1160918,276140
20520,1002049,117271
20718,1032559,147781
20922,1023885,139107
21120,1015821,131043
21326,1001151,116373
21471,1099759,214981
21676,1013343,128565
21878,1048182,163404
22074,1088218,203440
22283,995925,111147
22486,995054,110276
22683,1062558,177780
22886,1097426,212648
23087,987924,103146
23288,1043718,158940
23493,1006376,121598
23693,1000280,115502
23894,1009860,125082
24095,1001467,116689
24299,991571,106793
24492,1114974,230196
24694,1062558,177780
24900,958909,74131
25102,1037023,152245
25298,1067418,182640
25500,1069038,184260
25706,1008118,123340
25906,1043718,158940
26105,1065798,181020
26312,1021401,136623
26507,1099818,215040
26714,1052838,168060
26917,1025864,141086
27120,1027278,142500
27321,789046,0
27514,1156453,271675
27716,1095862,211084
27925,1069090,184312
28123,1019169,134391
28325,1002022,117244
28523,1053817,169039
28728,1053761,168983
28928,1062558,177780
29127,1035018,150240
29335,1044164,159386
29538,1015956,131178
29740,1009860,125082
29933,1009128,124350
30137,1064178,179400
30343,988087,103309
30545,988087,103309
30690,1104678,219900
30893,1062558,177780
31090,1025149,140371
31293,1060938,176160
31496,1004634,119856
31699,1058224,173446
31904,1003763,118985
32102,1051218,166440
32304,1035907,151129
32509,1026598,141820
32705,1094958,210180
32903,1054458,169680
33108,1051642,166864
33311,1019169,134391
33504,1139511,254733
33714,996796,112018
33917,1028096,143318
34119,1002022,117244
34318,999409,114631
34520,1014214,129436
34721,1012472,127694
34922,989829,105051
35118,1049598,164820
35322,1073898,189120
35525,1016827,132049
35720,1115310,230532
35930,1039255,154477
36125,903558,18780
36332,988958,104180
36526,1049994,165216
36735,975894,91116
36924,1170460,285682
37134,998144,113366
37330,1057698,172920
37535,984603,99825
37735,1060219,175441
37931,1030604,145826
38142,971540,86762
38339,1069038,184260
38535,1091108,206330
38745,962831,78053
38944,1000280,115502
39138,1075669,190891
39339,1083848,199070
39547,1076526,191748
39746,1014705,129927
39946,1037535,152757
40151,967185,82407
40345,1039878,155100
40551,1003547,118769
40755,984603,99825
40948,1049994,165216
41152,1048269,163491
41352,1070658,185880
41552,1200431,315653
41764,989829,105051
41964,994183,109405
42166,1045567,160789
42359,991338,106560
42510,1126441,241663
42710,1090098,205320
42910,1038527,153749
43113,1013958,129180
43318,1025864,141086
43518,1078758,193980
43723,1017290,132512
43924,1016827,132049
44127,997667,112889
44321,1044261,159483
44521,1067195,182417
44723,1085238,200460
44925,1104678,219900
45129,1074839,190061
45334,986345,101567
45536,989829,105051
45730,1082484,197706
45930,1089842,205064
46139,988958,104180
46336,1054458,169680
46537,1056108,171330
46734,1098369,213591
46944,1011602,126824
47147,1057109,172331
47348,1022516,137738
47548,1022021,137243
47752,1007247,122469
47952,1006376,121598
48153,994183,109405
48356,995054,110276
48556,1041486,156708
48753,1067418,182640
48957,1045950,161172
49154,1049598,164820
49361,981991,97213
49563,989829,105051
49758,1077138,192360
49964,1048221,163443
50165,1000280,115502
50367,988087,103309
50567,1033675,148897
50767,1081998,197220
50972,1008118,123340
51174,999409,114631
51377,1012472,127694
51574,1043118,158340
51780,1087616,202838
51976,1067418,182640
52183,1025536,140758
52384,987216,102438
52578,1063372,178594
52787,994183,109405
52988,995054,110276
53138,1049156,164378
53335,1020285,135507
53535,1020438,135660
53743,1008472,123694
53943,1004634,119856
54143,1043718,158940
54340,1039878,155100
54544,1031778,147000
54746,1037535,152757
54945,1041486,156708
55149,1012474,127696
55349,1057698,172920
55555,1007247,122469
55758,988958,104180
55954,1057698,172920
56154,1085238,200460
56362,1010731,125953
56563,970748,85970
56763,1008118,123340
