Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
67,1036402,52074
239,1697922,713594
452,1009860,25532
646,1046358,62030
846,1067195,82867
1054,1012474,28146
1250,1039878,55550
1461,972411,0
1660,990700,6372
1861,995054,10726
2056,995054,10726
2249,1165473,181145
2456,1002830,18502
2652,1102819,118491
2853,1063773,79445
3054,1344719,360391
3252,1760994,776666
3464,76201,0
3666,889833,0
3870,980603,0
4068,1022053,37725
4266,1043173,58845
4465,1094958,110630
4673,921977,0
4868,1053817,69489
5074,1047066,62738
5273,1073898,89570
5480,1019277,34949
5679,1046528,62200
5875,1071017,86689
6080,1034791,50463
6283,1053761,69433
6485,1016688,32360
6681,1031778,47450
6893,985474,1146
7090,1003763,19435
7283,1100789,116461
7492,993312,8984
7687,1035018,50690
7889,1047978,63650
8096,1029212,44884
8293,1065798,81470
8491,1869882,885554
8689,1098738,114410
8904,973281,0
9097,1088218,103890
9303,1031443,47115
9503,1057698,73370
9699,1132251,147923
9906,1012474,28146
10106,1079388,95060
10305,1078758,94430
10507,1047978,63650
10707,1070658,86330
10864,1010242,25914
11059,1073898,89570
11266,1034791,50463
11462,1062558,78230
11666,1007247,22919
11867,1010800,26472
12064,1036638,52310
12270,1026980,42652
12473,996796,12468
12672,1006860,22532
12870,1043118,58790
13072,1039878,55550
13277,1078758,94430
13481,1010731,26403
13679,1088478,104150
13881,1034791,50463
14083,1032559,48231
14286,968871,0
14485,1067418,83090
14689,1005505,21177
14882,1124990,140662
15092,995054,10726
15293,1026980,42652
15497,995925,11597
15698,1019739,35411
15899,1013343,29015
16095,1080378,96050
16289,1414823,430495
16493,1103209,118881
16696,1056078,71750
16897,1064178,79850
17098,1062558,78230
17301,1072278,87950
17507,1001151,16823
17706,1031443,47115
17908,1050487,66159
18106,1052645,68317
18307,993312,8984
18513,994183,9855
18716,988958,4630
18918,998538,14210
19120,1001532,17204
19320,1005505,21177
19525,996796,12468
19724,1000280,15952
19922,1011358,27030
20124,995054,10726
20326,997667,13339
20532,991571,7243
20727,1043632,59304
20932,1005505,21177
21134,982861,0
21334,989829,5501
21535,994183,9855
21734,1005778,21450
21933,1065798,81470
22134,1030188,45860
22292,1012474,28146
22491,1026980,42652
22691,1065798,81470
22897,1023794,39466
23099,988349,4021
23301,1005505,21177
23503,1000634,16306
23698,1065798,81470
23904,1044834,60506
24113,1009860,25532
24301,1039878,55550
24505,1032559,48231
24705,1044738,60410
24909,1032559,48231
25109,1062558,78230
25313,1011358,27030
25514,1001096,16768
25716,1053185,68857
25915,1062558,78230
26117,1051218,66890
26319,1028096,43768
26523,1003227,18899
26724,987216,2888
26925,985962,1634
27125,1004634,20306
27328,994183,9855
27524,1094958,110630
27729,990966,6638
27936,993312,8984
28129,1090098,105770
28330,1044738,60410
28531,1059318,74990
28733,1038258,53930
28939,1002022,17694
29137,1064178,79850
29342,1003763,19435
29537,1088478,104150
29741,1031517,47189
29940,1093338,109010
30142,1067418,83090
30349,1037023,52695
30550,1003763,19435
30754,988958,4630
30955,989829,5501
31153,1028096,43768
31355,985474,1146
31555,1033605,49277
31757,1002761,18433
31961,975023,0
32163,957685,0
32354,1183700,199372
32564,1010731,26403
32710,1077820,93492
32917,1003763,19435
33124,990890,6562
33321,1011602,27274
33519,1029212,44884
33720,1083618,99290
33924,1004201,19873
34125,1050413,66085
34320,1052838,68510
34525,1075518,91190
34730,1002022,17694
34936,1011602,27274
35127,1049994,65666
35334,1049297,64969
35534,1036638,52310
35738,1028149,43821
35931,1057226,72898
36136,1078758,94430
36338,1067418,83090
36544,1036218,51890
36746,1001151,16823
36945,1019440,35112
37148,1002022,17694
37350,995054,10726
37545,1054458,70130
37752,994292,9964
37955,1010242,25914
38159,1030328,46000
38354,1100789,116461
38555,1044738,60410
38756,1056078,71750
38958,1041498,57170
39163,1029372,45044
39366,1005859,21531
39561,1059318,74990
39763,1065798,81470
39964,1067418,83090
40166,1041268,56940
40364,1092040,107712
40567,1059318,74990
40768,1090098,105770
40971,979998,0
41175,1008118,23790
41368,1379914,395586
41578,988958,4630
41783,991571,7243
41985,1035907,51579
42185,994183,9855
42329,1076751,92423
42536,1029212,44884
42738,1027052,42724
42938,1044834,60506
43143,1019007,34679
43338,1064178,79850
43539,1049797,65469
43744,1031443,47115
43945,1006894,22566
44144,1030158,45830
44348,981991,0
44549,1101274,116946
44754,997667,13339
44954,948975,0
45155,1032559,48231
45355,1030158,45830
45561,1004634,20306
45757,1080378,96050
45958,1057698,73370
46164,1050827,66499
46367,1034791,50463
46556,1330044,345716
46764,1059318,74990
46969,1019658,35330
47175,1006376,22048
47374,992861,8533
47574,1010242,25914
47776,1002892,18564
47973,1052838,68510
48174,1051218,66890
48378,1031443,47115
48579,1052838,68510
48784,1052348,68020
48985,981120,0
49187,1003763,19435
49383,1080378,96050
49586,1033398,49070
49792,1015956,31628
49990,1040370,56042
50187,1065798,81470
50389,1043118,58790
50590,989688,5360
50797,1023632,39304
50994,1073898,89570
51195,1036638,52310
51393,1226696,242368
51601,994620,10292
51798,1155810,171482
52007,998892,14564
52156,1088478,104150
52356,1044834,60506
52561,987216,2888
52760,1044834,60506
52963,1063804,79476
53163,1080238,95910
53366,981120,0
53567,995054,10726
53767,1056829,72501
53965,1060938,76610
54169,1020285,35957
54375,1023632,39304
54573,1030328,46000
54775,1021401,37073
54977,1026980,42652
55171,1087721,103393
55379,1034791,50463
55579,1069038,84710
55783,1004117,19789
55984,1045950,61622
56179,1124530,140202
56384,1069038,84710
56587,1002022,17694
56787,1038258,53930
56993,1005505,21177
57197,1002892,18564
57391,1112778,128450
57595,1025864,41536
57797,1002022,17694
57996,1035061,50733
58196,1011358,27030
58402,989829,5501
58601,1019169,34841
58799,1039878,55550
59003,1002431,18103
59205,1013589,29261
59408,1008010,23682
59606,1042602,58274
59799,1700013,715685
60009,1869224,884896
,,
