Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
66,1777602,351089
252,1635246,208733
457,2386868,960355
656,1175133,0
856,2008639,582126
1057,1606668,180155
1266,1513537,87024
1460,954256,0
1659,1236998,0
1860,1396310,0
2068,1473804,47291
2260,1612420,185907
2462,1606963,180450
2664,1533074,106561
2865,1568971,142458
3065,1634601,208088
3266,1661637,235124
3469,1380436,0
3685,1578292,151779
3884,1591125,164612
4076,1410067,0
4285,1110629,0
4479,1753780,327267
4679,1505964,79451
4879,1010972,0
5083,1123374,0
5282,1181509,0
5483,1335570,0
5682,2016050,589537
5884,1343792,0
6084,1412857,0
6288,892412,0
6488,1081697,0
6688,1185124,0
6889,1418314,0
7090,1339687,0
7303,1540080,113567
7499,1551799,125286
7703,1208597,0
7910,938224,0
8100,1591854,165341
8301,1366699,0
8499,1402261,0
8704,739232,0
8905,751665,0
9053,1407725,0
9254,1117609,0
9456,1121295,0
9659,1814880,388367
9857,998071,0
10060,1921521,495008
10260,1446407,19894
10462,1152363,0
10663,1556003,129490
10860,1410766,0
11060,1262193,0
11263,1680808,254295
11463,684429,0
11665,1868358,441845
11865,921671,0
12071,914408,0
12281,1066498,0
12481,1332317,0
12682,1261225,0
12881,1001213,0
13078,1177109,0
13278,1595199,168686
13481,960124,0
13684,1051439,0
13884,1609096,182583
14086,1061748,0
14285,673433,0
14486,1667740,241227
14687,1379720,0
14888,1403636,0
15088,1300603,0
15291,825755,0
15501,1541112,114599
15751,1558057,131544
15905,1343537,0
16116,869201,0
16310,1228367,0
16512,1167167,0
16710,1449285,22772
16918,1170768,0
17113,1464969,38456
17315,1349446,0
17516,1343989,0
17720,1422361,0
17922,1510117,83604
18128,1634549,208036
18324,1272077,0
18527,1293107,0
18673,1360132,0
18876,1126441,0
19083,1363629,0
19280,1425886,0
19481,1678455,251942
19687,1231517,0
19884,1397716,0
20084,1504780,78267
20289,1237103,0
20492,1130377,0
20683,1549973,123460
20884,1765098,338585
21084,1270276,0
21285,941578,0
21489,1478303,51790
21696,900637,0
21901,1047420,0
22100,1269540,0
22296,1328183,0
22502,1327127,0
22702,1194377,0
22908,1152614,0
23111,896499,0
23307,1363066,0
23508,1833594,407081
23715,869480,0
23911,1331429,0
24115,1613410,186897
24313,1167491,0
24517,1125377,0
24720,1310637,0
24918,1355296,0
25123,1727796,301283
25328,1256339,0
25522,1286627,0
25723,1082398,0
25931,1197305,0
26121,1566164,139651
26320,1330893,0
26522,1054428,0
26723,1236630,0
26924,1076769,0
27127,887614,0
27328,1371064,0
27526,1421964,0
27727,1406557,0
27930,1827352,400839
28129,1337029,0
28339,977748,0
28542,1603032,176519
28743,1513966,87453
28939,1510022,83509
29145,1343327,0
29341,1418114,0
29543,1376456,0
29694,1639015,212502
29891,1278167,0
30100,944851,0
30294,1064295,0
30495,1239335,0
30708,1851703,425190
30893,2351213,924700
31095,1389470,0
31297,1319756,0
31498,1401622,0
31699,1331707,0
31898,808254,0
32101,1105415,0
32303,1282909,0
32505,808872,0
32705,1296024,0
32906,1345698,0
33111,1563266,136753
33313,1186441,0
33514,1078295,0
33713,909698,0
33914,1371071,0
34117,1422105,0
34331,803772,0
34523,1166244,0
34727,1191767,0
34929,1290557,0
35124,1447832,21319
35335,1243738,0
35529,1474839,48326
35740,1479286,52773
35939,961738,0
36135,1266887,0
36335,1449853,23340
36544,1341039,0
36746,1311589,0
36943,1409056,0
37147,1433673,7160
37350,1324828,0
37552,1709816,283303
37749,1306425,0
37955,1082937,0
38156,1319987,0
38355,1170524,0
38551,1494782,68269
38755,1483844,57331
38959,882192,0
39159,1371827,0
39363,1271907,0
39567,1270166,0
39764,1536316,109803
39965,1501566,75053
40162,941741,0
40315,1361601,0
40518,1358867,0
40717,1400926,0
40917,1331184,0
41122,1210217,0
41318,1451529,25016
41522,1355676,0
41723,1460973,34460
41933,1233667,0
42126,1270567,0
42331,1158337,0
42526,1940616,514103
42726,1626027,199514
42925,1351990,0
43128,1384120,0
43328,1294295,0
43529,694438,0
43742,1738720,312207
43940,942318,0
44144,1192097,0
44341,1290808,0
44545,1284377,0
44743,1688805,262292
44948,1360181,0
45152,1343433,0
45352,1421356,0
45546,1522776,96263
45752,1149695,0
45957,1042449,0
46158,1112142,0
46354,1372640,0
46558,1264150,0
46757,1472615,46102
46963,1237749,0
47161,1399666,0
47358,1470580,44067
47563,1292477,0
47765,1391699,0
47970,1254728,0
48173,1133861,0
48361,1599343,172830
48562,1412574,0
48764,1283630,0
48980,883899,0
49173,1476997,50484
49377,1325593,0
49577,1441057,14544
49772,1635980,209467
49972,995196,0
50172,1450417,23904
50368,2152997,726484
50587,570030,0
50786,1281473,0
50982,1403884,0
51190,1257835,0
51338,1615966,189453
51543,1369481,0
51742,1329376,0
51942,1343327,0
52144,1426318,0
52345,1256309,0
52548,1447876,21363
52747,894299,0
52946,934292,0
53147,817725,0
53345,1573195,146682
53546,1516713,90200
53751,1107844,0
53952,1276895,0
54150,1092776,0
54352,1374310,0
54561,558216,0
54757,1068916,0
54957,1122933,0
55153,1904252,477739
55359,1146866,0
55570,1279349,0
55766,1400495,0
55964,1263420,0
56173,1200718,0
56371,1179788,0
56569,1402572,0
56775,1391236,0
56981,1144502,0
57174,1389194,0
57378,1381383,0
57577,1261667,0
57779,1347826,0
57976,1345415,0
58188,1339923,0
58384,1334267,0
58581,1586628,160115
58792,1582629,156116
58993,1360934,0
59193,1152978,0
59392,1327631,0
59587,1882754,456241
59789,1713967,287454
59991,1694904,268391
60188,2437354,1010841
